problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,10
er_14_0.3_1,19.0,1.0,8
er_14_0.3_2,23.0,1.0,21
er_14_0.5_0,34.0,1.0,21
er_14_0.5_1,32.0,1.0,9
er_14_0.5_2,34.0,1.0,17
er_14_0.7_0,41.0,0.9761904761904762,10
er_14_0.7_1,41.0,1.0,18
er_14_0.7_2,37.0,0.9736842105263158,5
er_16_0.3_0,26.0,1.0,25
er_16_0.3_1,29.0,0.9666666666666667,27
er_16_0.3_2,22.0,1.0,8
er_16_0.5_0,47.0,1.0,23
er_16_0.5_1,41.0,0.9761904761904762,2
er_16_0.5_2,39.0,0.975,44
er_16_0.7_0,50.0,1.0,7
er_16_0.7_1,55.0,1.0,33
er_16_0.7_2,54.0,0.9818181818181818,20
er_18_0.3_0,36.0,1.0,36
er_18_0.3_1,34.0,1.0,3
er_18_0.3_2,38.0,0.9743589743589743,18
er_18_0.5_0,47.0,1.0,25
er_18_0.5_1,56.0,1.0,57
er_18_0.5_2,52.0,0.9285714285714286,20
er_18_0.7_0,67.0,1.0,51
er_18_0.7_1,64.0,0.9846153846153847,52
er_18_0.7_2,64.0,0.9846153846153847,8
er_20_0.3_0,43.0,0.9772727272727273,160
er_20_0.3_1,38.0,1.0,297
er_20_0.3_2,38.0,1.0,12
er_20_0.5_0,68.0,1.0,120
er_20_0.5_1,62.0,1.0,311
er_20_0.5_2,64.0,1.0,11
er_20_0.7_0,87.0,0.9775280898876404,272
er_20_0.7_1,82.0,0.9879518072289156,355
er_20_0.7_2,80.0,1.0,134
geo_14_0.3_0,15.0,1.0,2
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,9
geo_14_0.5_0,29.0,1.0,5
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,11
geo_14_0.7_0,39.0,1.0,5
geo_14_0.7_1,45.0,0.9782608695652174,13
geo_14_0.7_2,39.0,0.9512195121951219,4
geo_16_0.3_0,17.0,1.0,7
geo_16_0.3_1,23.0,1.0,2
geo_16_0.3_2,18.0,1.0,8
geo_16_0.5_0,36.0,0.972972972972973,8
geo_16_0.5_1,44.0,0.9777777777777777,17
geo_16_0.5_2,37.0,1.0,72
geo_16_0.7_0,44.0,0.9777777777777777,12
geo_16_0.7_1,53.0,0.9636363636363636,7
geo_16_0.7_2,55.0,0.9821428571428571,12
geo_18_0.3_0,19.0,1.0,26
geo_18_0.3_1,25.0,1.0,153
geo_18_0.3_2,23.0,1.0,19
geo_18_0.5_0,40.0,0.975609756097561,15
geo_18_0.5_1,49.0,0.98,2
geo_18_0.5_2,46.0,1.0,81
geo_18_0.7_0,67.0,0.9852941176470589,14
geo_18_0.7_1,78.0,0.975,2
geo_18_0.7_2,71.0,1.0,83
geo_20_0.3_0,31.0,1.0,168
geo_20_0.3_1,30.0,1.0,2
geo_20_0.3_2,31.0,0.96875,31
geo_20_0.5_0,53.0,0.9814814814814815,40
geo_20_0.5_1,64.0,1.0,175
geo_20_0.5_2,59.0,1.0,355
geo_20_0.7_0,80.0,0.975609756097561,133
geo_20_0.7_1,86.0,0.9885057471264368,87
geo_20_0.7_2,81.0,1.0,78
