problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,20.0,0.9523809523809523,13,1322,2
er_14_0.3_1,19.0,1.0,9,670,2
er_14_0.3_2,23.0,1.0,10,889,2
er_14_0.5_0,31.0,0.96875,9,666,2
er_14_0.5_1,29.0,0.9666666666666667,7,446,2
er_14_0.5_2,29.0,1.0,7,452,2
er_14_0.6_0,43.0,1.0,12,1103,1
er_14_0.6_1,39.0,0.975,10,887,3
er_14_0.6_2,34.0,0.9444444444444444,14,1541,12
er_14_0.7_0,39.0,0.9512195121951219,15,1760,11
er_14_0.7_1,40.0,0.9523809523809523,15,1760,2
er_14_0.7_2,44.0,0.9777777777777777,13,1322,10
er_16_0.3_0,25.0,0.9615384615384616,19,1148,2
er_16_0.3_1,32.0,1.0,31,2282,6
er_16_0.3_2,31.0,1.0,15,708,3
er_16_0.5_0,38.0,0.95,13,696,3
er_16_0.5_1,41.0,0.9761904761904762,50,4847,1
er_16_0.5_2,36.0,0.972972972972973,19,1152,4
er_16_0.6_0,45.0,0.9782608695652174,38,3103,28
er_16_0.6_1,42.0,1.0,32,2475,3
er_16_0.6_2,48.0,1.0,20,1351,2
er_16_0.7_0,55.0,0.9821428571428571,52,4849,21
er_16_0.7_1,53.0,0.9814814814814815,56,5727,7
er_16_0.7_2,56.0,0.9824561403508771,21,1352,3
er_18_0.3_0,41.0,1.0,45,2124,2
er_18_0.3_1,37.0,0.9487179487179487,36,2019,2
er_18_0.3_2,33.0,1.0,32,1543,6
er_18_0.5_0,53.0,1.0,71,4702,46
er_18_0.5_1,51.0,1.0,53,2742,3
er_18_0.5_2,51.0,0.9807692307692307,51,2536,2
er_18_0.6_0,56.0,0.9824561403508771,106,8639,3
er_18_0.6_1,58.0,1.0,43,1936,15
er_18_0.6_2,63.0,1.0,126,10539,69
er_18_0.7_0,68.0,0.9855072463768116,197,19820,194
er_18_0.7_1,67.0,1.0,63,3634,3
er_18_0.7_2,67.0,0.9852941176470589,80,5123,2
er_20_0.3_0,38.0,0.9743589743589743,104,5493,75
er_20_0.3_1,44.0,1.0,77,4622,27
er_20_0.3_2,46.0,0.9583333333333334,49,1942,2
er_20_0.5_0,65.0,0.9701492537313433,78,4085,3
er_20_0.5_1,61.0,0.9838709677419355,124,7835,100
er_20_0.5_2,61.0,1.0,130,8281,6
er_20_0.6_0,80.0,1.0,165,11402,72
er_20_0.6_1,75.0,0.9868421052631579,129,9442,2
er_20_0.6_2,76.0,1.0,211,12176,44
er_20_0.7_0,81.0,1.0,440,35459,41
er_20_0.7_1,77.0,0.9871794871794872,250,18613,8
er_20_0.7_2,83.0,0.9880952380952381,209,15754,3
geo_14_0.1_0,13.0,1.0,13,1334,6
geo_14_0.1_1,14.0,1.0,12,1365,6
geo_14_0.1_2,13.0,1.0,10,883,1
geo_14_0.3_0,14.0,1.0,10,889,6
geo_14_0.3_1,17.0,1.0,13,1336,2
geo_14_0.3_2,15.0,1.0,13,1328,6
geo_14_0.5_0,34.0,0.9714285714285714,12,1107,3
geo_14_0.5_1,28.0,1.0,15,1760,14
geo_14_0.5_2,23.0,0.9583333333333334,10,883,2
geo_14_0.6_0,41.0,1.0,15,1760,2
geo_14_0.6_1,40.0,0.9523809523809523,15,1760,3
geo_14_0.6_2,34.0,1.0,14,1543,7
geo_16_0.1_0,15.0,1.0,8,625,3
geo_16_0.1_1,15.0,1.0,19,1204,17
geo_16_0.1_2,16.0,1.0,11,522,3
geo_16_0.3_0,23.0,1.0,30,2475,17
geo_16_0.3_1,24.0,1.0,28,1873,9
geo_16_0.3_2,22.0,0.9565217391304348,23,1772,3
geo_16_0.5_0,33.0,1.0,51,4864,19
geo_16_0.5_1,41.0,1.0,35,3100,3
geo_16_0.5_2,30.0,0.967741935483871,32,2871,2
geo_16_0.6_0,48.0,1.0,41,3968,18
geo_16_0.6_1,55.0,0.9821428571428571,59,6382,5
geo_16_0.6_2,44.0,1.0,47,4410,6
geo_18_0.1_0,17.0,1.0,37,2284,35
geo_18_0.1_1,19.0,1.0,46,2573,1
geo_18_0.1_2,18.0,1.0,10,505,1
geo_18_0.3_0,24.0,1.0,61,4022,5
geo_18_0.3_1,22.0,1.0,19,768,1
geo_18_0.3_2,23.0,0.9583333333333334,89,7300,53
geo_18_0.5_0,53.0,1.0,47,2922,2
geo_18_0.5_1,44.0,1.0,182,16809,153
geo_18_0.5_2,44.0,1.0,77,4694,10
geo_18_0.6_0,58.0,1.0,102,7765,6
geo_18_0.6_1,56.0,0.9824561403508771,149,13462,6
geo_18_0.6_2,42.0,0.9767441860465116,107,8570,29
geo_20_0.1_0,18.0,0.9473684210526315,30,1175,2
geo_20_0.1_1,19.0,1.0,26,1037,1
geo_20_0.1_2,23.0,1.0,122,8617,61
geo_20_0.3_0,33.0,0.9705882352941176,112,7635,2
geo_20_0.3_1,25.0,1.0,119,6386,1
geo_20_0.3_2,28.0,0.9655172413793104,82,4483,2
geo_20_0.5_0,62.0,1.0,156,10635,3
geo_20_0.5_1,70.0,1.0,492,42301,2
geo_20_0.5_2,55.0,1.0,165,10852,2
geo_20_0.6_0,63.0,0.984375,480,42191,19
geo_20_0.6_1,83.0,1.0,172,10823,3
geo_20_0.6_2,81.0,0.9878048780487805,887,93340,7
