problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,18,7,5
er_14_0.3_1,19.0,1.0,21,2,8
er_14_0.3_2,23.0,1.0,24,1,12
er_14_0.5_0,32.0,1.0,31,0,6
er_14_0.5_1,30.0,1.0,28,1,8
er_14_0.5_2,29.0,1.0,31,0,9
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,24,1,5
er_14_0.6_2,36.0,1.0,21,2,9
er_14_0.7_0,41.0,1.0,31,0,8
er_14_0.7_1,42.0,1.0,31,0,8
er_14_0.7_2,45.0,1.0,31,0,27
er_16_0.3_0,26.0,1.0,89,6,22
er_16_0.3_1,32.0,1.0,100,5,11
er_16_0.3_2,31.0,1.0,62,7,17
er_16_0.5_0,40.0,1.0,83,4,42
er_16_0.5_1,42.0,1.0,124,1,7
er_16_0.5_2,37.0,1.0,90,3,11
er_16_0.6_0,46.0,1.0,120,1,73
er_16_0.6_1,42.0,1.0,127,0,10
er_16_0.6_2,48.0,1.0,127,0,74
er_16_0.7_0,56.0,1.0,124,1,73
er_16_0.7_1,54.0,1.0,124,1,42
er_16_0.7_2,57.0,1.0,96,1,15
er_18_0.3_0,41.0,1.0,297,18,41
er_18_0.3_1,39.0,1.0,302,7,103
er_18_0.3_2,33.0,1.0,206,27,12
er_18_0.5_0,53.0,1.0,472,5,50
er_18_0.5_1,51.0,1.0,488,5,204
er_18_0.5_2,52.0,1.0,421,6,361
er_18_0.6_0,57.0,1.0,501,2,200
er_18_0.6_1,58.0,1.0,489,2,306
er_18_0.6_2,63.0,1.0,493,2,159
er_18_0.7_0,69.0,1.0,508,1,154
er_18_0.7_1,67.0,1.0,493,2,207
er_18_0.7_2,68.0,1.0,508,1,394
er_20_0.3_0,39.0,1.0,1295,30,19
er_20_0.3_1,44.0,1.0,999,32,90
er_20_0.3_2,48.0,1.0,949,14,97
er_20_0.5_0,67.0,1.0,1486,7,219
er_20_0.5_1,62.0,1.0,1831,8,375
er_20_0.5_2,61.0,1.0,1997,6,69
er_20_0.6_0,80.0,1.0,2032,1,364
er_20_0.6_1,76.0,1.0,2040,1,683
er_20_0.6_2,76.0,1.0,2040,1,425
er_20_0.7_0,81.0,1.0,2037,2,1131
er_20_0.7_1,78.0,1.0,2037,2,713
er_20_0.7_2,84.0,1.0,2037,2,1133
geo_14_0.1_0,13.0,1.0,14,313,6
geo_14_0.1_1,14.0,1.0,21,112,6
geo_14_0.1_2,13.0,1.0,6,3,1
geo_14_0.3_0,14.0,1.0,24,13,12
geo_14_0.3_1,17.0,1.0,21,2,3
geo_14_0.3_2,15.0,1.0,21,2,6
geo_14_0.5_0,35.0,1.0,31,0,27
geo_14_0.5_1,28.0,1.0,25,2,2
geo_14_0.5_2,24.0,1.0,31,0,5
geo_14_0.6_0,41.0,1.0,31,0,15
geo_14_0.6_1,42.0,1.0,31,0,20
geo_14_0.6_2,34.0,1.0,31,0,9
geo_16_0.1_0,15.0,1.0,40,423,7
geo_16_0.1_1,15.0,1.0,53,8,7
geo_16_0.1_2,16.0,1.0,61,6,23
geo_16_0.3_0,23.0,1.0,95,4,67
geo_16_0.3_1,24.0,1.0,92,9,68
geo_16_0.3_2,23.0,1.0,59,32,7
geo_16_0.5_0,33.0,1.0,121,2,41
geo_16_0.5_1,41.0,1.0,96,1,3
geo_16_0.5_2,31.0,1.0,120,1,35
geo_16_0.6_0,48.0,1.0,127,0,77
geo_16_0.6_1,56.0,1.0,127,0,78
geo_16_0.6_2,44.0,1.0,112,1,15
geo_18_0.1_0,17.0,1.0,259,12,2
geo_18_0.1_1,19.0,1.0,140,29,1
geo_18_0.1_2,18.0,1.0,56,29,1
geo_18_0.3_0,24.0,1.0,323,12,34
geo_18_0.3_1,22.0,1.0,205,14,1
geo_18_0.3_2,24.0,1.0,247,16,5
geo_18_0.5_0,53.0,1.0,493,2,296
geo_18_0.5_1,44.0,1.0,436,5,82
geo_18_0.5_2,44.0,1.0,414,7,50
geo_18_0.6_0,58.0,1.0,505,2,2
geo_18_0.6_1,57.0,1.0,504,1,292
geo_18_0.6_2,43.0,1.0,452,5,264
geo_20_0.1_0,19.0,1.0,397,766,95
geo_20_0.1_1,19.0,1.0,153,64,1
geo_20_0.1_2,23.0,1.0,798,91,353
geo_20_0.3_0,34.0,1.0,1190,127,720
geo_20_0.3_1,25.0,1.0,1440,89,1
geo_20_0.3_2,29.0,1.0,698,203,429
geo_20_0.5_0,62.0,1.0,1947,12,528
geo_20_0.5_1,70.0,1.0,2006,3,1184
geo_20_0.5_2,55.0,1.0,1959,8,1574
geo_20_0.6_0,64.0,1.0,2016,5,1098
geo_20_0.6_1,83.0,1.0,2023,4,259
geo_20_0.6_2,82.0,1.0,2044,1,217
