problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,10,887,8
er_14_0.3_1,16.0,0.8421052631578947,9,664,4
er_14_0.3_2,20.0,0.8695652173913043,4,231,1
er_14_0.5_0,28.0,0.875,14,1543,10
er_14_0.5_1,27.0,0.9,7,666,1
er_14_0.5_2,25.0,0.8620689655172413,9,664,6
er_14_0.6_0,43.0,1.0,8,883,1
er_14_0.6_1,39.0,0.975,11,1102,6
er_14_0.6_2,36.0,1.0,8,675,2
er_14_0.7_0,39.0,0.9512195121951219,14,1541,12
er_14_0.7_1,40.0,0.9523809523809523,13,1322,3
er_14_0.7_2,42.0,0.9333333333333333,15,1760,15
er_16_0.3_0,24.0,0.9230769230769231,15,732,3
er_16_0.3_1,30.0,0.9375,6,239,2
er_16_0.3_2,29.0,0.9354838709677419,20,1351,3
er_16_0.5_0,36.0,0.9,26,2213,1
er_16_0.5_1,41.0,0.9761904761904762,7,446,1
er_16_0.5_2,32.0,0.8648648648648649,13,1104,1
er_16_0.6_0,41.0,0.8913043478260869,14,1323,14
er_16_0.6_1,38.0,0.9047619047619048,46,4843,38
er_16_0.6_2,45.0,0.9375,64,6753,40
er_16_0.7_0,54.0,0.9642857142857143,56,5943,6
er_16_0.7_1,52.0,0.9629629629629629,47,5064,2
er_16_0.7_2,57.0,1.0,61,6602,59
er_18_0.3_0,35.0,0.8536585365853658,48,4845,1
er_18_0.3_1,35.0,0.8974358974358975,54,5073,39
er_18_0.3_2,29.0,0.8787878787878788,41,3750,19
er_18_0.5_0,53.0,1.0,133,13876,100
er_18_0.5_1,45.0,0.8823529411764706,109,10792,21
er_18_0.5_2,50.0,0.9615384615384616,222,23117,222
er_18_0.6_0,53.0,0.9298245614035088,180,17909,163
er_18_0.6_1,55.0,0.9482758620689655,225,24212,142
er_18_0.6_2,58.0,0.9206349206349206,113,11888,92
er_18_0.7_0,67.0,0.9710144927536232,179,19146,4
er_18_0.7_1,63.0,0.9402985074626866,184,18933,132
er_18_0.7_2,66.0,0.9705882352941176,163,17386,34
er_20_0.3_0,36.0,0.9230769230769231,107,10582,39
er_20_0.3_1,40.0,0.9090909090909091,236,24443,3
er_20_0.3_2,42.0,0.875,144,14439,106
er_20_0.5_0,61.0,0.9104477611940298,351,35536,244
er_20_0.5_1,57.0,0.9193548387096774,372,39179,56
er_20_0.5_2,61.0,1.0,398,42217,261
er_20_0.6_0,77.0,0.9625,927,98410,688
er_20_0.6_1,74.0,0.9736842105263158,751,80542,91
er_20_0.6_2,76.0,1.0,456,48637,41
er_20_0.7_0,79.0,0.9753086419753086,857,92540,4
er_20_0.7_1,76.0,0.9743589743589743,696,74633,204
er_20_0.7_2,81.0,0.9642857142857143,727,79426,587
geo_14_0.1_0,12.0,0.9230769230769231,7,454,2
geo_14_0.1_1,11.0,0.7857142857142857,5,442,1
geo_14_0.1_2,13.0,1.0,4,227,1
geo_14_0.3_0,13.0,0.9285714285714286,5,442,1
geo_14_0.3_1,15.0,0.8823529411764706,5,448,2
geo_14_0.3_2,12.0,0.8,5,448,1
geo_14_0.5_0,33.0,0.9428571428571428,13,1324,9
geo_14_0.5_1,27.0,0.9642857142857143,9,884,4
geo_14_0.5_2,22.0,0.9166666666666666,9,882,3
geo_14_0.6_0,41.0,1.0,11,1102,2
geo_14_0.6_1,39.0,0.9285714285714286,15,1760,4
geo_14_0.6_2,32.0,0.9411764705882353,15,1760,2
geo_16_0.1_0,15.0,1.0,10,699,2
geo_16_0.1_1,12.0,0.8,18,903,1
geo_16_0.1_2,13.0,0.8125,20,483,1
geo_16_0.3_0,21.0,0.9130434782608695,20,1329,18
geo_16_0.3_1,23.0,0.9583333333333334,36,2893,4
geo_16_0.3_2,21.0,0.9130434782608695,17,1332,2
geo_16_0.5_0,30.0,0.9090909090909091,19,1764,12
geo_16_0.5_1,39.0,0.9512195121951219,16,1325,3
geo_16_0.5_2,28.0,0.9032258064516129,40,4183,36
geo_16_0.6_0,48.0,1.0,44,4625,9
geo_16_0.6_1,56.0,1.0,29,2864,17
geo_16_0.6_2,44.0,1.0,25,2428,3
geo_18_0.1_0,16.0,0.9411764705882353,27,1372,17
geo_18_0.1_1,19.0,1.0,8,247,1
geo_18_0.1_2,18.0,1.0,8,255,1
geo_18_0.3_0,22.0,0.9166666666666666,32,2659,1
geo_18_0.3_1,22.0,1.0,27,1412,1
geo_18_0.3_2,22.0,0.9166666666666666,26,1339,17
geo_18_0.5_0,49.0,0.9245283018867925,196,19845,95
geo_18_0.5_1,42.0,0.9545454545454546,134,13869,21
geo_18_0.5_2,43.0,0.9772727272727273,65,5540,44
geo_18_0.6_0,56.0,0.9655172413793104,187,19810,4
geo_18_0.6_1,55.0,0.9649122807017544,223,23310,113
geo_18_0.6_2,42.0,0.9767441860465116,93,8378,31
geo_20_0.1_0,18.0,0.9473684210526315,10,263,2
geo_20_0.1_1,19.0,1.0,21,1022,1
geo_20_0.1_2,23.0,1.0,74,5329,70
geo_20_0.3_0,33.0,0.9705882352941176,88,7515,2
geo_20_0.3_1,25.0,1.0,57,4422,1
geo_20_0.3_2,26.0,0.896551724137931,226,19621,22
geo_20_0.5_0,59.0,0.9516129032258065,360,37867,3
geo_20_0.5_1,68.0,0.9714285714285714,433,43732,4
geo_20_0.5_2,54.0,0.9818181818181818,480,49809,30
geo_20_0.6_0,62.0,0.96875,249,26210,94
geo_20_0.6_1,83.0,1.0,689,73928,370
geo_20_0.6_2,81.0,0.9878048780487805,950,101831,116
