problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,13,1326,11
er_14_0.3_1,16.0,0.8421052631578947,12,1103,4
er_14_0.3_2,20.0,0.8695652173913043,13,1326,1
er_14_0.5_0,28.0,0.875,12,1105,9
er_14_0.5_1,27.0,0.9,6,447,1
er_14_0.5_2,25.0,0.8620689655172413,9,664,6
er_14_0.6_0,43.0,1.0,4,227,1
er_14_0.6_1,39.0,0.975,9,676,5
er_14_0.6_2,36.0,1.0,7,456,2
er_14_0.7_0,38.0,0.926829268292683,10,885,1
er_14_0.7_1,40.0,0.9523809523809523,7,446,3
er_14_0.7_2,42.0,0.9333333333333333,11,1104,11
er_16_0.3_0,24.0,0.9230769230769231,15,698,3
er_16_0.3_1,30.0,0.9375,11,494,2
er_16_0.3_2,25.0,0.8064516129032258,32,2881,20
er_16_0.5_0,36.0,0.9,16,949,1
er_16_0.5_1,42.0,1.0,9,470,5
er_16_0.5_2,32.0,0.8648648648648649,6,225,1
er_16_0.6_0,41.0,0.8913043478260869,10,665,10
er_16_0.6_1,38.0,0.9047619047619048,20,1343,5
er_16_0.6_2,45.0,0.9375,25,1786,11
er_16_0.7_0,53.0,0.9464285714285714,32,2449,18
er_16_0.7_1,52.0,0.9629629629629629,23,1612,2
er_16_0.7_2,57.0,1.0,25,1794,24
er_18_0.3_0,35.0,0.8536585365853658,10,447,1
er_18_0.3_1,35.0,0.8974358974358975,32,2013,25
er_18_0.3_2,29.0,0.8787878787878788,38,2461,18
er_18_0.5_0,49.0,0.9245283018867925,20,721,13
er_18_0.5_1,48.0,0.9411764705882353,47,2498,47
er_18_0.5_2,48.0,0.9230769230769231,55,3710,25
er_18_0.6_0,52.0,0.9122807017543859,19,900,14
er_18_0.6_1,54.0,0.9310344827586207,25,1140,24
er_18_0.6_2,58.0,0.9206349206349206,19,922,17
er_18_0.7_0,67.0,0.9710144927536232,32,2065,4
er_18_0.7_1,62.0,0.9253731343283582,22,1141,17
er_18_0.7_2,66.0,0.9705882352941176,37,1934,13
er_20_0.3_0,34.0,0.8717948717948718,31,1586,4
er_20_0.3_1,43.0,0.9772727272727273,38,2033,14
er_20_0.3_2,39.0,0.8125,34,1839,18
er_20_0.5_0,60.0,0.8955223880597015,18,505,8
er_20_0.5_1,61.0,0.9838709677419355,44,2529,34
er_20_0.5_2,60.0,0.9836065573770492,36,1441,31
er_20_0.6_0,74.0,0.925,30,973,25
er_20_0.6_1,72.0,0.9473684210526315,38,1383,35
er_20_0.6_2,74.0,0.9736842105263158,10,393,5
er_20_0.7_0,79.0,0.9753086419753086,34,1273,4
er_20_0.7_1,75.0,0.9615384615384616,40,1531,11
er_20_0.7_2,77.0,0.9166666666666666,39,1850,29
geo_14_0.1_0,12.0,0.9230769230769231,10,885,2
geo_14_0.1_1,11.0,0.7857142857142857,23,28,1
geo_14_0.1_2,13.0,1.0,5,444,1
geo_14_0.3_0,14.0,1.0,15,900,11
geo_14_0.3_1,14.0,0.8235294117647058,26,15,1
geo_14_0.3_2,13.0,0.8666666666666667,13,800,13
geo_14_0.5_0,33.0,0.9428571428571428,13,1324,9
geo_14_0.5_1,27.0,0.9642857142857143,11,1104,4
geo_14_0.5_2,22.0,0.9166666666666666,9,882,3
geo_14_0.6_0,41.0,1.0,9,668,2
geo_14_0.6_1,39.0,0.9285714285714286,11,1102,4
geo_14_0.6_2,32.0,0.9411764705882353,13,1322,2
geo_16_0.1_0,15.0,1.0,20,1385,8
geo_16_0.1_1,12.0,0.8,25,1632,1
geo_16_0.1_2,13.0,0.8125,30,183,1
geo_16_0.3_0,21.0,0.9130434782608695,35,2870,33
geo_16_0.3_1,22.0,0.9166666666666666,29,2210,10
geo_16_0.3_2,21.0,0.9130434782608695,26,1993,2
geo_16_0.5_0,30.0,0.9090909090909091,13,670,8
geo_16_0.5_1,39.0,0.9512195121951219,10,453,3
geo_16_0.5_2,28.0,0.9032258064516129,32,2651,31
geo_16_0.6_0,48.0,1.0,25,1794,8
geo_16_0.6_1,56.0,1.0,26,1997,20
geo_16_0.6_2,44.0,1.0,11,462,3
geo_18_0.1_0,15.0,0.8823529411764706,40,2879,35
geo_18_0.1_1,19.0,1.0,48,2379,1
geo_18_0.1_2,18.0,1.0,49,2872,1
geo_18_0.3_0,23.0,0.9583333333333334,61,3368,46
geo_18_0.3_1,22.0,1.0,37,1842,1
geo_18_0.3_2,22.0,0.9166666666666666,26,1343,17
geo_18_0.5_0,53.0,1.0,22,1349,12
geo_18_0.5_1,42.0,0.9545454545454546,8,235,3
geo_18_0.5_2,42.0,0.9545454545454546,8,235,1
geo_18_0.6_0,57.0,0.9827586206896551,50,2929,47
geo_18_0.6_1,54.0,0.9473684210526315,57,3386,4
geo_18_0.6_2,43.0,1.0,35,1648,23
geo_20_0.1_0,18.0,0.9473684210526315,10,283,2
geo_20_0.1_1,19.0,1.0,10,303,1
geo_20_0.1_2,21.0,0.9130434782608695,86,5371,73
geo_20_0.3_0,33.0,0.9705882352941176,21,782,2
geo_20_0.3_1,25.0,1.0,34,1431,1
geo_20_0.3_2,26.0,0.896551724137931,68,3605,20
geo_20_0.5_0,59.0,0.9516129032258065,10,273,3
geo_20_0.5_1,66.0,0.9428571428571428,71,4472,55
geo_20_0.5_2,51.0,0.9272727272727272,27,1566,2
geo_20_0.6_0,62.0,0.96875,43,1882,22
geo_20_0.6_1,83.0,1.0,21,860,14
geo_20_0.6_2,81.0,0.9878048780487805,41,1884,34
