problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,18.0,0.8571428571428571,9,664,2
er_14_0.3_1,16.0,0.8421052631578947,7,446,2
er_14_0.3_2,20.0,0.8695652173913043,5,448,1
er_14_0.5_0,27.0,0.84375,10,455,9
er_14_0.5_1,27.0,0.9,6,447,1
er_14_0.5_2,26.0,0.896551724137931,15,1762,10
er_14_0.6_0,43.0,1.0,5,448,1
er_14_0.6_1,37.0,0.925,15,1760,1
er_14_0.6_2,30.0,0.8333333333333334,15,1760,2
er_14_0.7_0,38.0,0.926829268292683,14,1541,1
er_14_0.7_1,39.0,0.9285714285714286,12,1321,5
er_14_0.7_2,43.0,0.9555555555555556,15,1760,12
er_16_0.3_0,23.0,0.8846153846153846,22,1349,19
er_16_0.3_1,27.0,0.84375,28,1443,2
er_16_0.3_2,26.0,0.8387096774193549,8,447,5
er_16_0.5_0,38.0,0.95,15,1118,3
er_16_0.5_1,41.0,0.9761904761904762,38,3755,1
er_16_0.5_2,35.0,0.9459459459459459,16,1329,3
er_16_0.6_0,46.0,1.0,41,3758,3
er_16_0.6_1,40.0,0.9523809523809523,57,6164,34
er_16_0.6_2,47.0,0.9791666666666666,56,5727,38
er_16_0.7_0,55.0,0.9821428571428571,53,5722,5
er_16_0.7_1,51.0,0.9444444444444444,17,1762,2
er_16_0.7_2,57.0,1.0,35,3306,19
er_18_0.3_0,35.0,0.8536585365853658,37,3540,1
er_18_0.3_1,37.0,0.9487179487179487,99,9700,63
er_18_0.3_2,30.0,0.9090909090909091,177,18098,155
er_18_0.5_0,50.0,0.9433962264150944,167,16412,5
er_18_0.5_1,46.0,0.9019607843137255,33,3304,15
er_18_0.5_2,48.0,0.9230769230769231,67,7000,50
er_18_0.6_0,56.0,0.9824561403508771,156,16725,77
er_18_0.6_1,52.0,0.896551724137931,211,20158,20
er_18_0.6_2,58.0,0.9206349206349206,221,24202,36
er_18_0.7_0,68.0,0.9855072463768116,245,26568,121
er_18_0.7_1,64.0,0.9552238805970149,118,12763,63
er_18_0.7_2,66.0,0.9705882352941176,245,26406,86
er_20_0.3_0,37.0,0.9487179487179487,250,26015,199
er_20_0.3_1,41.0,0.9318181818181818,158,13775,149
er_20_0.3_2,43.0,0.8958333333333334,332,26179,298
er_20_0.5_0,62.0,0.9253731343283582,302,30465,259
er_20_0.5_1,59.0,0.9516129032258065,319,29934,177
er_20_0.5_2,60.0,0.9836065573770492,321,33976,136
er_20_0.6_0,77.0,0.9625,860,84983,311
er_20_0.6_1,74.0,0.9736842105263158,666,72171,70
er_20_0.6_2,73.0,0.9605263157894737,258,26117,14
er_20_0.7_0,78.0,0.9629629629629629,1015,99868,339
er_20_0.7_1,76.0,0.9743589743589743,746,74173,164
er_20_0.7_2,83.0,0.9880952380952381,596,59411,120
geo_14_0.1_0,11.0,0.8461538461538461,5,442,4
geo_14_0.1_1,14.0,1.0,9,754,2
geo_14_0.1_2,13.0,1.0,9,710,1
geo_14_0.3_0,14.0,1.0,7,450,2
geo_14_0.3_1,17.0,1.0,11,896,3
geo_14_0.3_2,15.0,1.0,10,883,5
geo_14_0.5_0,35.0,1.0,8,663,2
geo_14_0.5_1,28.0,1.0,8,885,8
geo_14_0.5_2,24.0,1.0,4,225,2
geo_14_0.6_0,40.0,0.975609756097561,15,1760,14
geo_14_0.6_1,40.0,0.9523809523809523,16,1541,14
geo_14_0.6_2,31.0,0.9117647058823529,12,1033,9
geo_16_0.1_0,15.0,1.0,17,1326,3
geo_16_0.1_1,15.0,1.0,24,1831,6
geo_16_0.1_2,14.0,0.875,6,229,3
geo_16_0.3_0,20.0,0.8695652173913043,27,2446,2
geo_16_0.3_1,24.0,1.0,10,455,2
geo_16_0.3_2,22.0,0.9565217391304348,34,2905,2
geo_16_0.5_0,30.0,0.9090909090909091,40,3971,21
geo_16_0.5_1,38.0,0.926829268292683,44,4623,18
geo_16_0.5_2,29.0,0.9354838709677419,25,2206,9
geo_16_0.6_0,47.0,0.9791666666666666,60,6601,28
geo_16_0.6_1,56.0,1.0,66,6217,61
geo_16_0.6_2,44.0,1.0,37,3526,3
geo_18_0.1_0,17.0,1.0,43,2794,2
geo_18_0.1_1,19.0,1.0,25,1698,1
geo_18_0.1_2,18.0,1.0,47,3630,1
geo_18_0.3_0,24.0,1.0,43,3542,35
geo_18_0.3_1,22.0,1.0,19,1768,1
geo_18_0.3_2,22.0,0.9166666666666666,96,9277,14
geo_18_0.5_0,49.0,0.9245283018867925,120,10923,15
geo_18_0.5_1,42.0,0.9545454545454546,141,14972,85
geo_18_0.5_2,42.0,0.9545454545454546,24,1997,1
geo_18_0.6_0,57.0,0.9827586206896551,187,19910,3
geo_18_0.6_1,55.0,0.9649122807017544,225,22232,16
geo_18_0.6_2,42.0,0.9767441860465116,150,15629,3
geo_20_0.1_0,18.0,0.9473684210526315,33,1220,27
geo_20_0.1_1,19.0,1.0,78,5487,1
geo_20_0.1_2,22.0,0.9565217391304348,73,5122,2
geo_20_0.3_0,30.0,0.8823529411764706,123,12340,1
geo_20_0.3_1,25.0,1.0,81,6124,1
geo_20_0.3_2,25.0,0.8620689655172413,255,25150,20
geo_20_0.5_0,60.0,0.967741935483871,872,91685,252
geo_20_0.5_1,70.0,1.0,911,85176,539
geo_20_0.5_2,54.0,0.9818181818181818,167,17188,7
geo_20_0.6_0,63.0,0.984375,600,63991,383
geo_20_0.6_1,81.0,0.9759036144578314,542,57683,2
geo_20_0.6_2,81.0,0.9878048780487805,996,98657,706
