problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,25,2,16
er_14_0.3_1,19.0,1.0,28,1,20
er_14_0.3_2,23.0,1.0,28,1,5
er_14_0.5_0,32.0,1.0,31,0,12
er_14_0.5_1,30.0,1.0,28,1,5
er_14_0.5_2,29.0,1.0,28,1,8
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,13
er_14_0.6_2,36.0,1.0,31,0,9
er_14_0.7_0,41.0,1.0,31,0,12
er_14_0.7_1,42.0,1.0,31,0,8
er_14_0.7_2,45.0,1.0,31,0,15
er_16_0.3_0,26.0,1.0,93,6,71
er_16_0.3_1,32.0,1.0,84,9,5
er_16_0.3_2,31.0,1.0,55,8,37
er_16_0.5_0,40.0,1.0,71,4,10
er_16_0.5_1,42.0,1.0,124,1,48
er_16_0.5_2,37.0,1.0,118,7,67
er_16_0.6_0,46.0,1.0,127,0,3
er_16_0.6_1,42.0,1.0,127,0,38
er_16_0.6_2,48.0,1.0,124,1,73
er_16_0.7_0,56.0,1.0,127,0,10
er_16_0.7_1,54.0,1.0,127,0,105
er_16_0.7_2,57.0,1.0,117,6,66
er_18_0.3_0,41.0,1.0,349,6,110
er_18_0.3_1,39.0,1.0,443,60,27
er_18_0.3_2,33.0,1.0,367,28,59
er_18_0.5_0,53.0,1.0,501,2,337
er_18_0.5_1,51.0,1.0,385,10,35
er_18_0.5_2,52.0,1.0,448,9,416
er_18_0.6_0,57.0,1.0,508,1,75
er_18_0.6_1,58.0,1.0,502,3,346
er_18_0.6_2,63.0,1.0,496,1,56
er_18_0.7_0,69.0,1.0,511,0,461
er_18_0.7_1,67.0,1.0,504,1,399
er_18_0.7_2,68.0,1.0,511,0,231
er_20_0.3_0,39.0,1.0,1557,74,46
er_20_0.3_1,44.0,1.0,1595,16,575
er_20_0.3_2,48.0,1.0,1540,49,1054
er_20_0.5_0,67.0,1.0,1704,21,288
er_20_0.5_1,62.0,1.0,1934,19,383
er_20_0.5_2,61.0,1.0,1980,5,15
er_20_0.6_0,80.0,1.0,2044,1,1210
er_20_0.6_1,76.0,1.0,2027,4,121
er_20_0.6_2,76.0,1.0,2038,3,529
er_20_0.7_0,81.0,1.0,2041,2,153
er_20_0.7_1,78.0,1.0,2031,4,569
er_20_0.7_2,84.0,1.0,2044,1,217
geo_14_0.1_0,13.0,1.0,14,313,5
geo_14_0.1_1,14.0,1.0,18,7,5
geo_14_0.1_2,13.0,1.0,6,3,1
geo_14_0.3_0,14.0,1.0,14,23,2
geo_14_0.3_1,17.0,1.0,24,1,3
geo_14_0.3_2,15.0,1.0,31,0,5
geo_14_0.5_0,35.0,1.0,31,0,2
geo_14_0.5_1,28.0,1.0,31,0,12
geo_14_0.5_2,24.0,1.0,31,0,2
geo_14_0.6_0,41.0,1.0,31,0,20
geo_14_0.6_1,42.0,1.0,31,0,27
geo_14_0.6_2,34.0,1.0,31,0,8
geo_16_0.1_0,15.0,1.0,25,460,3
geo_16_0.1_1,15.0,1.0,56,9,6
geo_16_0.1_2,16.0,1.0,55,16,23
geo_16_0.3_0,23.0,1.0,73,10,25
geo_16_0.3_1,24.0,1.0,121,2,2
geo_16_0.3_2,23.0,1.0,83,4,34
geo_16_0.5_0,33.0,1.0,124,1,23
geo_16_0.5_1,41.0,1.0,127,0,78
geo_16_0.5_2,31.0,1.0,109,2,22
geo_16_0.6_0,48.0,1.0,127,0,105
geo_16_0.6_1,56.0,1.0,127,0,45
geo_16_0.6_2,44.0,1.0,120,1,3
geo_18_0.1_0,17.0,1.0,171,76,2
geo_18_0.1_1,19.0,1.0,199,24,1
geo_18_0.1_2,18.0,1.0,105,10,1
geo_18_0.3_0,24.0,1.0,329,14,29
geo_18_0.3_1,22.0,1.0,443,252,1
geo_18_0.3_2,24.0,1.0,442,79,410
geo_18_0.5_0,53.0,1.0,465,6,148
geo_18_0.5_1,44.0,1.0,504,1,13
geo_18_0.5_2,44.0,1.0,459,8,143
geo_18_0.6_0,58.0,1.0,511,0,136
geo_18_0.6_1,57.0,1.0,508,1,175
geo_18_0.6_2,43.0,1.0,481,2,407
geo_20_0.1_0,19.0,1.0,208,1215,37
geo_20_0.1_1,19.0,1.0,57,18,1
geo_20_0.1_2,23.0,1.0,774,51,406
geo_20_0.3_0,34.0,1.0,1651,52,1299
geo_20_0.3_1,25.0,1.0,1410,91,1
geo_20_0.3_2,29.0,1.0,930,31,330
geo_20_0.5_0,62.0,1.0,1950,39,558
geo_20_0.5_1,70.0,1.0,2030,3,1025
geo_20_0.5_2,55.0,1.0,1981,2,336
geo_20_0.6_0,64.0,1.0,2016,5,1038
geo_20_0.6_1,83.0,1.0,2008,25,1153
geo_20_0.6_2,82.0,1.0,2047,0,1498
