problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,20.0,0.9523809523809523,14,771,8
er_14_0.3_1,17.0,0.8947368421052632,13,662,11
er_14_0.3_2,21.0,0.9130434782608695,12,665,12
er_14_0.5_0,31.0,0.96875,13,664,8
er_14_0.5_1,28.0,0.9333333333333333,11,552,6
er_14_0.5_2,26.0,0.896551724137931,14,771,7
er_14_0.6_0,43.0,1.0,8,337,1
er_14_0.6_1,37.0,0.925,5,222,1
er_14_0.6_2,31.0,0.8611111111111112,14,771,13
er_14_0.7_0,39.0,0.9512195121951219,14,771,10
er_14_0.7_1,38.0,0.9047619047619048,13,662,5
er_14_0.7_2,41.0,0.9111111111111111,10,445,3
er_16_0.3_0,26.0,1.0,18,671,12
er_16_0.3_1,30.0,0.9375,32,1367,8
er_16_0.3_2,29.0,0.9354838709677419,13,526,5
er_16_0.5_0,36.0,0.9,23,890,1
er_16_0.5_1,41.0,0.9761904761904762,7,244,1
er_16_0.5_2,32.0,0.8648648648648649,18,783,1
er_16_0.6_0,46.0,1.0,15,450,13
er_16_0.6_1,40.0,0.9523809523809523,26,1023,4
er_16_0.6_2,45.0,0.9375,28,1015,26
er_16_0.7_0,55.0,0.9821428571428571,33,1230,22
er_16_0.7_1,51.0,0.9444444444444444,32,1441,2
er_16_0.7_2,56.0,0.9824561403508771,40,1571,26
er_18_0.3_0,38.0,0.926829268292683,22,495,5
er_18_0.3_1,35.0,0.8974358974358975,85,3052,12
er_18_0.3_2,29.0,0.8787878787878788,45,1174,5
er_18_0.5_0,50.0,0.9433962264150944,35,926,10
er_18_0.5_1,50.0,0.9803921568627451,61,2228,47
er_18_0.5_2,46.0,0.8846153846153846,17,584,17
er_18_0.6_0,53.0,0.9298245614035088,64,2473,10
er_18_0.6_1,53.0,0.9137931034482759,46,1577,17
er_18_0.6_2,63.0,1.0,15,346,3
er_18_0.7_0,68.0,0.9855072463768116,58,1679,7
er_18_0.7_1,65.0,0.9701492537313433,49,1432,3
er_18_0.7_2,66.0,0.9705882352941176,40,1083,19
er_20_0.3_0,36.0,0.9230769230769231,74,1945,41
er_20_0.3_1,44.0,1.0,30,831,12
er_20_0.3_2,46.0,0.9583333333333334,28,811,12
er_20_0.5_0,61.0,0.9104477611940298,35,938,27
er_20_0.5_1,61.0,0.9838709677419355,74,2471,70
er_20_0.5_2,56.0,0.9180327868852459,10,175,1
er_20_0.6_0,79.0,0.9875,81,2138,74
er_20_0.6_1,74.0,0.9736842105263158,54,1561,28
er_20_0.6_2,71.0,0.9342105263157895,98,3223,27
er_20_0.7_0,81.0,1.0,61,2148,24
er_20_0.7_1,74.0,0.9487179487179487,26,609,14
er_20_0.7_2,83.0,0.9880952380952381,62,1839,9
geo_14_0.1_0,12.0,0.9230769230769231,15,308,2
geo_14_0.1_1,11.0,0.7857142857142857,12,125,1
geo_14_0.1_2,13.0,1.0,10,443,1
geo_14_0.3_0,14.0,1.0,14,775,3
geo_14_0.3_1,16.0,0.9411764705882353,14,771,6
geo_14_0.3_2,14.0,0.9333333333333333,15,880,13
geo_14_0.5_0,34.0,0.9714285714285714,15,880,14
geo_14_0.5_1,28.0,1.0,14,775,4
geo_14_0.5_2,23.0,0.9583333333333334,15,880,2
geo_14_0.6_0,40.0,0.975609756097561,15,880,8
geo_14_0.6_1,40.0,0.9523809523809523,12,553,6
geo_14_0.6_2,34.0,1.0,12,661,9
geo_16_0.1_0,13.0,0.8666666666666667,42,1883,1
geo_16_0.1_1,15.0,1.0,33,1238,4
geo_16_0.1_2,14.0,0.875,35,1198,3
geo_16_0.3_0,21.0,0.9130434782608695,25,1118,2
geo_16_0.3_1,24.0,1.0,18,589,3
geo_16_0.3_2,22.0,0.9565217391304348,39,1770,19
geo_16_0.5_0,31.0,0.9393939393939394,37,1664,35
geo_16_0.5_1,40.0,0.975609756097561,33,1546,21
geo_16_0.5_2,29.0,0.9354838709677419,33,1222,17
geo_16_0.6_0,45.0,0.9375,38,1663,15
geo_16_0.6_1,54.0,0.9642857142857143,16,461,1
geo_16_0.6_2,43.0,0.9772727272727273,28,1117,1
geo_18_0.1_0,16.0,0.9411764705882353,83,3040,6
geo_18_0.1_1,19.0,1.0,39,1262,1
geo_18_0.1_2,18.0,1.0,15,300,1
geo_18_0.3_0,23.0,0.9583333333333334,69,2460,3
geo_18_0.3_1,22.0,1.0,52,1921,1
geo_18_0.3_2,22.0,0.9166666666666666,109,4490,7
geo_18_0.5_0,49.0,0.9245283018867925,50,1601,28
geo_18_0.5_1,42.0,0.9545454545454546,69,2460,32
geo_18_0.5_2,44.0,1.0,62,2161,6
geo_18_0.6_0,58.0,1.0,61,1742,21
geo_18_0.6_1,56.0,0.9824561403508771,43,1098,10
geo_18_0.6_2,41.0,0.9534883720930233,59,1932,3
geo_20_0.1_0,18.0,0.9473684210526315,84,3097,2
geo_20_0.1_1,19.0,1.0,78,2425,1
geo_20_0.1_2,22.0,0.9565217391304348,270,10605,241
geo_20_0.3_0,30.0,0.8823529411764706,64,2373,1
geo_20_0.3_1,25.0,1.0,76,2265,1
geo_20_0.3_2,28.0,0.9655172413793104,174,5971,29
geo_20_0.5_0,61.0,0.9838709677419355,100,2721,47
geo_20_0.5_1,68.0,0.9714285714285714,81,1946,7
geo_20_0.5_2,53.0,0.9636363636363636,93,2336,44
geo_20_0.6_0,60.0,0.9375,14,353,1
geo_20_0.6_1,83.0,1.0,49,1396,10
geo_20_0.6_2,80.0,0.975609756097561,31,620,7
