problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,20.0,0.9523809523809523,14,1551,2
er_14_0.3_1,19.0,1.0,10,907,2
er_14_0.3_2,23.0,1.0,11,906,3
er_14_0.5_0,31.0,0.96875,11,888,3
er_14_0.5_1,30.0,1.0,7,444,3
er_14_0.5_2,29.0,1.0,10,889,4
er_14_0.6_0,43.0,1.0,12,1103,1
er_14_0.6_1,38.0,0.95,13,1322,2
er_14_0.6_2,35.0,0.9722222222222222,13,1330,2
er_14_0.7_0,40.0,0.975609756097561,11,1102,4
er_14_0.7_1,40.0,0.9523809523809523,12,1321,3
er_14_0.7_2,43.0,0.9555555555555556,15,1760,8
er_16_0.3_0,26.0,1.0,35,2508,19
er_16_0.3_1,32.0,1.0,15,692,5
er_16_0.3_2,29.0,0.9354838709677419,19,920,2
er_16_0.5_0,36.0,0.9,40,3533,1
er_16_0.5_1,41.0,0.9761904761904762,51,5066,1
er_16_0.5_2,36.0,0.972972972972973,34,2687,4
er_16_0.6_0,46.0,1.0,27,2012,2
er_16_0.6_1,42.0,1.0,33,2224,3
er_16_0.6_2,48.0,1.0,15,680,2
er_16_0.7_0,54.0,0.9642857142857143,55,5942,25
er_16_0.7_1,53.0,0.9814814814814815,42,4185,11
er_16_0.7_2,55.0,0.9649122807017544,52,4645,16
er_18_0.3_0,40.0,0.975609756097561,52,2563,17
er_18_0.3_1,39.0,1.0,42,2245,10
er_18_0.3_2,32.0,0.9696969696969697,122,9127,59
er_18_0.5_0,53.0,1.0,56,2941,13
er_18_0.5_1,50.0,0.9803921568627451,80,4965,2
er_18_0.5_2,50.0,0.9615384615384616,52,2705,2
er_18_0.6_0,56.0,0.9824561403508771,121,9960,2
er_18_0.6_1,58.0,1.0,19,694,2
er_18_0.6_2,61.0,0.9682539682539683,90,6855,2
er_18_0.7_0,67.0,0.9710144927536232,209,22228,5
er_18_0.7_1,65.0,0.9701492537313433,135,11928,2
er_18_0.7_2,68.0,1.0,144,11559,87
er_20_0.3_0,38.0,0.9743589743589743,129,6826,46
er_20_0.3_1,43.0,0.9772727272727273,94,3941,11
er_20_0.3_2,47.0,0.9791666666666666,48,2297,2
er_20_0.5_0,66.0,0.9850746268656716,82,3755,3
er_20_0.5_1,62.0,1.0,56,2085,2
er_20_0.5_2,60.0,0.9836065573770492,378,29667,3
er_20_0.6_0,78.0,0.975,363,28798,3
er_20_0.6_1,76.0,1.0,90,4451,3
er_20_0.6_2,75.0,0.9868421052631579,168,11125,2
er_20_0.7_0,81.0,1.0,543,50060,321
er_20_0.7_1,77.0,0.9871794871794872,173,12018,2
er_20_0.7_2,84.0,1.0,165,10276,4
geo_14_0.1_0,13.0,1.0,10,887,2
geo_14_0.1_1,14.0,1.0,11,892,4
geo_14_0.1_2,13.0,1.0,4,223,1
geo_14_0.3_0,14.0,1.0,7,712,2
geo_14_0.3_1,17.0,1.0,7,444,2
geo_14_0.3_2,15.0,1.0,9,882,6
geo_14_0.5_0,33.0,0.9428571428571428,15,1760,8
geo_14_0.5_1,28.0,1.0,13,1322,5
geo_14_0.5_2,24.0,1.0,13,1322,2
geo_14_0.6_0,40.0,0.975609756097561,14,1541,2
geo_14_0.6_1,42.0,1.0,15,1760,12
geo_14_0.6_2,33.0,0.9705882352941176,15,1760,2
geo_16_0.1_0,14.0,0.9333333333333333,21,1564,2
geo_16_0.1_1,15.0,1.0,11,530,2
geo_16_0.1_2,16.0,1.0,30,2285,20
geo_16_0.3_0,23.0,1.0,26,1595,6
geo_16_0.3_1,23.0,0.9583333333333334,19,1138,2
geo_16_0.3_2,23.0,1.0,33,2874,8
geo_16_0.5_0,32.0,0.9696969696969697,52,4857,15
geo_16_0.5_1,41.0,1.0,39,3100,2
geo_16_0.5_2,31.0,1.0,21,1188,2
geo_16_0.6_0,47.0,0.9791666666666666,61,6604,7
geo_16_0.6_1,56.0,1.0,58,6163,25
geo_16_0.6_2,44.0,1.0,49,4848,2
geo_18_0.1_0,16.0,0.9411764705882353,19,1128,2
geo_18_0.1_1,19.0,1.0,31,1416,1
geo_18_0.1_2,18.0,1.0,8,229,1
geo_18_0.3_0,24.0,1.0,57,2932,4
geo_18_0.3_1,22.0,1.0,35,2674,1
geo_18_0.3_2,24.0,1.0,76,4957,46
geo_18_0.5_0,53.0,1.0,38,2027,2
geo_18_0.5_1,43.0,0.9772727272727273,161,16076,3
geo_18_0.5_2,43.0,0.9772727272727273,87,6856,2
geo_18_0.6_0,58.0,1.0,57,3566,3
geo_18_0.6_1,57.0,1.0,123,9100,12
geo_18_0.6_2,43.0,1.0,54,3361,3
geo_20_0.1_0,18.0,0.9473684210526315,19,508,2
geo_20_0.1_1,19.0,1.0,18,581,1
geo_20_0.1_2,22.0,0.9565217391304348,156,9777,8
geo_20_0.3_0,33.0,0.9705882352941176,237,16398,22
geo_20_0.3_1,25.0,1.0,33,1152,1
geo_20_0.3_2,29.0,1.0,44,1751,2
geo_20_0.5_0,61.0,0.9838709677419355,120,7801,8
geo_20_0.5_1,70.0,1.0,420,35817,4
geo_20_0.5_2,54.0,0.9818181818181818,383,30964,3
geo_20_0.6_0,63.0,0.984375,598,55567,11
geo_20_0.6_1,83.0,1.0,163,10734,2
geo_20_0.6_2,81.0,0.9878048780487805,987,107808,4
