problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,17
er_14_0.3_1,19.0,1.0,31,0,19
er_14_0.3_2,23.0,1.0,31,0,26
er_14_0.5_0,32.0,1.0,31,0,30
er_14_0.5_1,30.0,1.0,31,0,17
er_14_0.5_2,29.0,1.0,31,0,18
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,24
er_14_0.6_2,36.0,1.0,31,0,17
er_14_0.7_0,41.0,1.0,31,0,25
er_14_0.7_1,42.0,1.0,31,0,5
er_14_0.7_2,45.0,1.0,31,0,11
er_16_0.3_0,26.0,1.0,124,17,28
er_16_0.3_1,32.0,1.0,127,0,83
er_16_0.3_2,31.0,1.0,127,0,66
er_16_0.5_0,40.0,1.0,127,0,108
er_16_0.5_1,42.0,1.0,127,0,65
er_16_0.5_2,37.0,1.0,127,0,114
er_16_0.6_0,46.0,1.0,127,0,88
er_16_0.6_1,42.0,1.0,127,0,65
er_16_0.6_2,48.0,1.0,127,0,81
er_16_0.7_0,56.0,1.0,127,0,100
er_16_0.7_1,54.0,1.0,127,0,79
er_16_0.7_2,57.0,1.0,127,0,65
er_18_0.3_0,41.0,1.0,508,1,479
er_18_0.3_1,39.0,1.0,511,0,264
er_18_0.3_2,33.0,1.0,511,0,471
er_18_0.5_0,53.0,1.0,511,0,258
er_18_0.5_1,51.0,1.0,494,7,261
er_18_0.5_2,52.0,1.0,479,48,49
er_18_0.6_0,57.0,1.0,508,1,72
er_18_0.6_1,58.0,1.0,511,0,264
er_18_0.6_2,63.0,1.0,511,0,256
er_18_0.7_0,69.0,1.0,511,0,468
er_18_0.7_1,67.0,1.0,511,0,471
er_18_0.7_2,68.0,1.0,511,0,509
er_20_0.3_0,39.0,1.0,2032,5,1443
er_20_0.3_1,44.0,1.0,1981,34,1522
er_20_0.3_2,48.0,1.0,1793,316,1367
er_20_0.5_0,67.0,1.0,1962,51,1940
er_20_0.5_1,62.0,1.0,2024,5,1023
er_20_0.5_2,61.0,1.0,2047,0,1031
er_20_0.6_0,80.0,1.0,2044,1,1147
er_20_0.6_1,76.0,1.0,2035,4,1796
er_20_0.6_2,76.0,1.0,2047,0,1778
er_20_0.7_0,81.0,1.0,2047,0,1025
er_20_0.7_1,78.0,1.0,2047,0,1080
er_20_0.7_2,84.0,1.0,2047,0,320
geo_14_0.1_0,13.0,1.0,11,4,2
geo_14_0.1_1,14.0,1.0,31,0,19
geo_14_0.1_2,13.0,1.0,6,3,1
geo_14_0.3_0,14.0,1.0,31,0,21
geo_14_0.3_1,17.0,1.0,31,0,17
geo_14_0.3_2,15.0,1.0,31,0,5
geo_14_0.5_0,35.0,1.0,31,0,16
geo_14_0.5_1,28.0,1.0,31,0,16
geo_14_0.5_2,24.0,1.0,31,0,16
geo_14_0.6_0,41.0,1.0,31,0,3
geo_14_0.6_1,42.0,1.0,31,0,25
geo_14_0.6_2,34.0,1.0,31,0,20
geo_16_0.1_0,15.0,1.0,102,267,95
geo_16_0.1_1,15.0,1.0,127,0,67
geo_16_0.1_2,16.0,1.0,121,2,117
geo_16_0.3_0,23.0,1.0,127,0,67
geo_16_0.3_1,24.0,1.0,127,0,70
geo_16_0.3_2,23.0,1.0,127,0,71
geo_16_0.5_0,33.0,1.0,127,0,117
geo_16_0.5_1,41.0,1.0,127,0,78
geo_16_0.5_2,31.0,1.0,127,0,74
geo_16_0.6_0,48.0,1.0,127,0,74
geo_16_0.6_1,56.0,1.0,127,0,66
geo_16_0.6_2,44.0,1.0,127,0,40
geo_18_0.1_0,17.0,1.0,499,12,444
geo_18_0.1_1,19.0,1.0,240,125,1
geo_18_0.1_2,18.0,1.0,61,166,1
geo_18_0.3_0,24.0,1.0,511,0,320
geo_18_0.3_1,22.0,1.0,336,93,1
geo_18_0.3_2,24.0,1.0,511,0,320
geo_18_0.5_0,53.0,1.0,511,0,267
geo_18_0.5_1,44.0,1.0,511,0,62
geo_18_0.5_2,44.0,1.0,511,0,392
geo_18_0.6_0,58.0,1.0,511,0,335
geo_18_0.6_1,57.0,1.0,511,0,385
geo_18_0.6_2,43.0,1.0,511,0,235
geo_20_0.1_0,19.0,1.0,1169,5782,1160
geo_20_0.1_1,19.0,1.0,120,241,1
geo_20_0.1_2,23.0,1.0,1709,162,1644
geo_20_0.3_0,34.0,1.0,2020,21,1558
geo_20_0.3_1,25.0,1.0,1956,49,1
geo_20_0.3_2,29.0,1.0,2035,8,1028
geo_20_0.5_0,62.0,1.0,2041,2,1417
geo_20_0.5_1,70.0,1.0,2047,0,1152
geo_20_0.5_2,55.0,1.0,2047,0,1384
geo_20_0.6_0,64.0,1.0,2047,0,1241
geo_20_0.6_1,83.0,1.0,2047,0,1111
geo_20_0.6_2,82.0,1.0,2047,0,1724
