Instance,|V|,|E|,dim(Q),nz(Q>),nz(Diag(Q)),OSV
"g05_60.0 (.mc, .bq)",60,885,60,885,60,536
"g05_60.1 (.mc, .bq)",60,885,60,885,60,532
"g05_60.2 (.mc, .bq)",60,885,60,885,60,529
"g05_60.3 (.mc, .bq)",60,885,60,885,60,538
"g05_60.4 (.mc, .bq)",60,885,60,885,60,527
"g05_60.5 (.mc, .bq)",60,885,60,885,60,533
"g05_60.6 (.mc, .bq)",60,885,60,885,60,531
"g05_60.7 (.mc, .bq)",60,885,60,885,60,535
"g05_60.8 (.mc, .bq)",60,885,60,885,60,530
"g05_60.9 (.mc, .bq)",60,885,60,885,60,533
"g05_80.0 (.mc, .bq)",80,1580,80,1580,80,929
"g05_80.1 (.mc, .bq)",80,1580,80,1580,80,941
"g05_80.2 (.mc, .bq)",80,1580,80,1580,80,934
"g05_80.3 (.mc, .bq)",80,1580,80,1580,80,923
"g05_80.4 (.mc, .bq)",80,1580,80,1580,80,932
"g05_80.5 (.mc, .bq)",80,1580,80,1580,80,926
"g05_80.6 (.mc, .bq)",80,1580,80,1580,80,929
"g05_80.7 (.mc, .bq)",80,1580,80,1580,80,929
"g05_80.8 (.mc, .bq)",80,1580,80,1580,80,925
"g05_80.9 (.mc, .bq)",80,1580,80,1580,80,923
"g05_100.0 (.mc, .bq)",100,2475,100,2475,100,1430
"g05_100.1 (.mc, .bq)",100,2475,100,2475,100,1425
"g05_100.2 (.mc, .bq)",100,2475,100,2475,100,1432
"g05_100.3 (.mc, .bq)",100,2475,100,2475,100,1424
"g05_100.4 (.mc, .bq)",100,2475,100,2475,100,1440
"g05_100.5 (.mc, .bq)",100,2475,100,2475,100,1436
"g05_100.6 (.mc, .bq)",100,2475,100,2475,100,1434
"g05_100.7 (.mc, .bq)",100,2475,100,2475,100,1431
"g05_100.8 (.mc, .bq)",100,2475,100,2475,100,1432
"g05_100.9 (.mc, .bq)",100,2475,100,2475,100,1430
"pm1d_80.0 (.mc, .bq)",80,3128,80,3128,75,227
"pm1d_80.1 (.mc, .bq)",80,3128,80,3128,75,245
"pm1d_80.2 (.mc, .bq)",80,3128,80,3128,78,284
"pm1d_80.3 (.mc, .bq)",80,3128,80,3128,78,291
"pm1d_80.4 (.mc, .bq)",80,3128,80,3128,79,251
"pm1d_80.5 (.mc, .bq)",80,3128,80,3128,78,242
"pm1d_80.6 (.mc, .bq)",80,3128,80,3128,75,205
"pm1d_80.7 (.mc, .bq)",80,3128,80,3128,76,249
"pm1d_80.8 (.mc, .bq)",80,3128,80,3128,74,293
