problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,,-1,inf
er_14_0.3_1,19.0,1.0,,-1,inf
er_14_0.3_2,23.0,1.0,,-1,inf
er_14_0.5_0,32.0,1.0,,-1,inf
er_14_0.5_1,30.0,1.0,,-1,inf
er_14_0.5_2,29.0,1.0,,-1,inf
er_14_0.6_0,43.0,1.0,,-1,inf
er_14_0.6_1,38.0,0.95,,-1,inf
er_14_0.6_2,36.0,1.0,,-1,inf
er_14_0.7_0,41.0,1.0,,-1,inf
er_14_0.7_1,40.0,0.9523809523809523,,-1,inf
er_14_0.7_2,45.0,1.0,,-1,inf
er_16_0.3_0,26.0,1.0,,-1,inf
er_16_0.3_1,32.0,1.0,,-1,inf
er_16_0.3_2,31.0,1.0,,-1,inf
er_16_0.5_0,40.0,1.0,,-1,inf
er_16_0.5_1,42.0,1.0,,-1,inf
er_16_0.5_2,37.0,1.0,,-1,inf
er_16_0.6_0,43.0,0.9347826086956522,,-1,inf
er_16_0.6_1,42.0,1.0,,-1,inf
er_16_0.6_2,48.0,1.0,,-1,inf
er_16_0.7_0,54.0,0.9642857142857143,,-1,inf
er_16_0.7_1,54.0,1.0,,-1,inf
er_16_0.7_2,53.0,0.9298245614035088,,-1,inf
er_18_0.3_0,41.0,1.0,,-1,inf
er_18_0.3_1,39.0,1.0,,-1,inf
er_18_0.3_2,33.0,1.0,,-1,inf
er_18_0.5_0,50.0,0.9433962264150944,,-1,inf
er_18_0.5_1,51.0,1.0,,-1,inf
er_18_0.5_2,51.0,0.9807692307692307,,-1,inf
er_18_0.6_0,54.0,0.9473684210526315,,-1,inf
er_18_0.6_1,57.0,0.9827586206896551,,-1,inf
er_18_0.6_2,63.0,1.0,,-1,inf
er_18_0.7_0,67.0,0.9710144927536232,,-1,inf
er_18_0.7_1,67.0,1.0,,-1,inf
er_18_0.7_2,66.0,0.9705882352941176,,-1,inf
er_20_0.3_0,39.0,1.0,,-1,inf
er_20_0.3_1,44.0,1.0,,-1,inf
er_20_0.3_2,48.0,1.0,,-1,inf
er_20_0.5_0,66.0,0.9850746268656716,,-1,inf
er_20_0.5_1,62.0,1.0,,-1,inf
er_20_0.5_2,61.0,1.0,,-1,inf
er_20_0.6_0,79.0,0.9875,,-1,inf
er_20_0.6_1,74.0,0.9736842105263158,,-1,inf
er_20_0.6_2,73.0,0.9605263157894737,,-1,inf
er_20_0.7_0,80.0,0.9876543209876543,,-1,inf
er_20_0.7_1,77.0,0.9871794871794872,,-1,inf
er_20_0.7_2,82.0,0.9761904761904762,,-1,inf
geo_14_0.1_0,13.0,1.0,,-1,inf
geo_14_0.1_1,14.0,1.0,,-1,inf
geo_14_0.1_2,13.0,1.0,,-1,inf
geo_14_0.3_0,14.0,1.0,,-1,inf
geo_14_0.3_1,17.0,1.0,,-1,inf
geo_14_0.3_2,15.0,1.0,,-1,inf
geo_14_0.5_0,35.0,1.0,,-1,inf
geo_14_0.5_1,28.0,1.0,,-1,inf
geo_14_0.5_2,24.0,1.0,,-1,inf
geo_14_0.6_0,41.0,1.0,,-1,inf
geo_14_0.6_1,41.0,0.9761904761904762,,-1,inf
geo_14_0.6_2,34.0,1.0,,-1,inf
geo_16_0.1_0,15.0,1.0,,-1,inf
geo_16_0.1_1,15.0,1.0,,-1,inf
geo_16_0.1_2,16.0,1.0,,-1,inf
geo_16_0.3_0,22.0,0.9565217391304348,,-1,inf
geo_16_0.3_1,24.0,1.0,,-1,inf
geo_16_0.3_2,22.0,0.9565217391304348,,-1,inf
geo_16_0.5_0,33.0,1.0,,-1,inf
geo_16_0.5_1,39.0,0.9512195121951219,,-1,inf
geo_16_0.5_2,31.0,1.0,,-1,inf
geo_16_0.6_0,47.0,0.9791666666666666,,-1,inf
geo_16_0.6_1,53.0,0.9464285714285714,,-1,inf
geo_16_0.6_2,44.0,1.0,,-1,inf
geo_18_0.1_0,17.0,1.0,,-1,inf
geo_18_0.1_1,19.0,1.0,,-1,inf
geo_18_0.1_2,18.0,1.0,,-1,inf
geo_18_0.3_0,24.0,1.0,,-1,inf
geo_18_0.3_1,22.0,1.0,,-1,inf
geo_18_0.3_2,23.0,0.9583333333333334,,-1,inf
geo_18_0.5_0,51.0,0.9622641509433962,,-1,inf
geo_18_0.5_1,43.0,0.9772727272727273,,-1,inf
geo_18_0.5_2,44.0,1.0,,-1,inf
geo_18_0.6_0,58.0,1.0,,-1,inf
geo_18_0.6_1,55.0,0.9649122807017544,,-1,inf
geo_18_0.6_2,41.0,0.9534883720930233,,-1,inf
geo_20_0.1_0,19.0,1.0,,-1,inf
geo_20_0.1_1,19.0,1.0,,-1,inf
geo_20_0.1_2,23.0,1.0,,-1,inf
geo_20_0.3_0,34.0,1.0,,-1,inf
geo_20_0.3_1,25.0,1.0,,-1,inf
geo_20_0.3_2,28.0,0.9655172413793104,,-1,inf
geo_20_0.5_0,59.0,0.9516129032258065,,-1,inf
geo_20_0.5_1,67.0,0.9571428571428572,,-1,inf
geo_20_0.5_2,55.0,1.0,,-1,inf
geo_20_0.6_0,64.0,1.0,,-1,inf
geo_20_0.6_1,82.0,0.9879518072289156,,-1,inf
geo_20_0.6_2,81.0,0.9878048780487805,,-1,inf
