problem_name,cost,approx_ratio,n_steps
g05_60.0,517.0,0.9645522388059702,11
g05_60.1,512.0,0.9624060150375939,20
g05_60.2,491.0,0.9281663516068053,16
g05_60.3,477.0,0.8866171003717472,2
g05_60.4,485.0,0.920303605313093,1
g05_60.5,483.0,0.9061913696060038,7
g05_60.6,509.0,0.9585687382297552,9
g05_60.7,492.0,0.9196261682242991,1
g05_60.8,490.0,0.9245283018867925,2
g05_60.9,494.0,0.926829268292683,8
g05_80.0,898.0,0.9666307857911733,17
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,828.0,0.8865096359743041,1
g05_80.3,872.0,0.9447453954496208,15
g05_80.4,854.0,0.9163090128755365,3
g05_80.5,852.0,0.9200863930885529,11
g05_80.6,841.0,0.9052744886975242,1
g05_80.7,893.0,0.961248654467169,3
g05_80.8,889.0,0.961081081081081,6
g05_80.9,911.0,0.9869989165763814,13
g05_100.0,1318.0,0.9216783216783216,2
g05_100.1,1289.0,0.9045614035087719,1
g05_100.2,1391.0,0.9713687150837989,8
g05_100.3,1321.0,0.9276685393258427,5
g05_100.4,1293.0,0.8979166666666667,1
g05_100.5,1298.0,0.903899721448468,3
g05_100.6,1294.0,0.902370990237099,1
g05_100.7,1297.0,0.9063591893780573,1
g05_100.8,1302.0,0.909217877094972,1
g05_100.9,1374.0,0.9608391608391609,13
