problem_name,cost,approx_ratio,n_steps
g05_60.0,468.0,0.8731343283582089,3
g05_60.1,480.0,0.9022556390977443,2
g05_60.2,492.0,0.9300567107750473,4
g05_60.3,483.0,0.8977695167286245,6
g05_60.4,485.0,0.920303605313093,1
g05_60.5,474.0,0.8893058161350844,1
g05_60.6,483.0,0.9096045197740112,1
g05_60.7,492.0,0.9196261682242991,1
g05_60.8,481.0,0.9075471698113208,1
g05_60.9,518.0,0.9718574108818011,5
g05_80.0,832.0,0.8955866523143164,7
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,902.0,0.9657387580299786,5
g05_80.3,895.0,0.9696641386782232,6
g05_80.4,833.0,0.8937768240343348,1
g05_80.5,847.0,0.9146868250539957,4
g05_80.6,857.0,0.922497308934338,5
g05_80.7,905.0,0.9741657696447793,3
g05_80.8,906.0,0.9794594594594594,4
g05_80.9,896.0,0.9707475622968581,4
g05_100.0,1392.0,0.9734265734265735,3
g05_100.1,1321.0,0.9270175438596491,3
g05_100.2,1317.0,0.9196927374301676,3
g05_100.3,1318.0,0.925561797752809,8
g05_100.4,1296.0,0.9,2
g05_100.5,1323.0,0.9213091922005571,14
g05_100.6,1379.0,0.9616457461645747,6
g05_100.7,1297.0,0.9063591893780573,1
g05_100.8,1332.0,0.9301675977653632,6
g05_100.9,1314.0,0.9188811188811189,8
