problem_name,cost,approx_ratio,n_steps
g05_60.0,477.0,0.8899253731343284,10
g05_60.1,513.0,0.9642857142857143,22
g05_60.2,492.0,0.9300567107750473,4
g05_60.3,520.0,0.966542750929368,28
g05_60.4,485.0,0.920303605313093,1
g05_60.5,474.0,0.8893058161350844,1
g05_60.6,483.0,0.9096045197740112,1
g05_60.7,493.0,0.9214953271028037,7
g05_60.8,481.0,0.9075471698113208,1
g05_60.9,518.0,0.9718574108818011,5
g05_80.0,898.0,0.9666307857911733,9
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,902.0,0.9657387580299786,5
g05_80.3,895.0,0.9696641386782232,7
g05_80.4,834.0,0.8948497854077253,5
g05_80.5,847.0,0.9146868250539957,4
g05_80.6,894.0,0.9623250807319699,11
g05_80.7,905.0,0.9741657696447793,3
g05_80.8,906.0,0.9794594594594594,4
g05_80.9,896.0,0.9707475622968581,4
g05_100.0,1312.0,0.9174825174825175,5
g05_100.1,1321.0,0.9270175438596491,3
g05_100.2,1317.0,0.9196927374301676,3
g05_100.3,1318.0,0.925561797752809,5
g05_100.4,1296.0,0.9,2
g05_100.5,1323.0,0.9213091922005571,19
g05_100.6,1363.0,0.9504881450488145,3
g05_100.7,1297.0,0.9063591893780573,1
g05_100.8,1302.0,0.909217877094972,1
g05_100.9,1284.0,0.8979020979020979,1
