problem_name,cost,approx_ratio,n_steps
g05_60.0,493.0,0.9197761194029851,19
g05_60.1,513.0,0.9642857142857143,22
g05_60.2,501.0,0.947069943289225,23
g05_60.3,483.0,0.8977695167286245,2
g05_60.4,485.0,0.920303605313093,1
g05_60.5,474.0,0.8893058161350844,1
g05_60.6,521.0,0.9811676082862524,14
g05_60.7,492.0,0.9196261682242991,1
g05_60.8,481.0,0.9075471698113208,1
g05_60.9,518.0,0.9718574108818011,15
g05_80.0,847.0,0.9117330462863293,12
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,902.0,0.9657387580299786,16
g05_80.3,895.0,0.9696641386782232,20
g05_80.4,842.0,0.9034334763948498,13
g05_80.5,847.0,0.9146868250539957,4
g05_80.6,894.0,0.9623250807319699,12
g05_80.7,905.0,0.9741657696447793,7
g05_80.8,906.0,0.9794594594594594,13
g05_80.9,896.0,0.9707475622968581,11
g05_100.0,1392.0,0.9734265734265735,7
g05_100.1,1384.0,0.9712280701754386,20
g05_100.2,1317.0,0.9196927374301676,7
g05_100.3,1318.0,0.925561797752809,5
g05_100.4,1310.0,0.9097222222222222,9
g05_100.5,1323.0,0.9213091922005571,4
g05_100.6,1363.0,0.9504881450488145,6
g05_100.7,1369.0,0.9566736547868623,13
g05_100.8,1391.0,0.9713687150837989,13
g05_100.9,1314.0,0.9188811188811189,14
