problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,24.0,0.8275862068965517,6,3,1
er_14_0.3_1,19.0,1.0,12,327,5
er_14_0.3_2,21.0,0.9130434782608695,6,3,5
er_14_0.5_0,33.0,0.9705882352941176,11,8,5
er_14_0.5_1,31.0,0.96875,7,314,6
er_14_0.5_2,31.0,0.9117647058823529,6,3,1
er_14_0.7_0,39.0,0.9285714285714286,6,3,5
er_14_0.7_1,40.0,0.975609756097561,6,3,5
er_14_0.7_2,35.0,0.9210526315789473,6,3,5
er_16_0.3_0,26.0,1.0,21,536,7
er_16_0.3_1,30.0,1.0,15,114,7
er_16_0.3_2,21.0,0.9545454545454546,21,274,7
er_16_0.5_0,43.0,0.9148936170212766,15,36,7
er_16_0.5_1,38.0,0.9047619047619048,15,22,7
er_16_0.5_2,38.0,0.95,15,28,7
er_16_0.7_0,46.0,0.92,8,5,1
er_16_0.7_1,49.0,0.8909090909090909,8,5,1
er_16_0.7_2,52.0,0.9454545454545454,8,5,3
er_18_0.3_0,33.0,0.9166666666666666,19,216,9
er_18_0.3_1,32.0,0.9411764705882353,35,294,17
er_18_0.3_2,38.0,0.9743589743589743,19,222,9
er_18_0.5_0,43.0,0.9148936170212766,27,36,18
er_18_0.5_1,50.0,0.8928571428571429,23,20,2
er_18_0.5_2,46.0,0.8214285714285714,27,56,2
er_18_0.7_0,60.0,0.8955223880597015,10,7,1
er_18_0.7_1,60.0,0.9230769230769231,19,98,2
er_18_0.7_2,58.0,0.8923076923076924,10,7,1
er_20_0.3_0,41.0,0.9318181818181818,39,828,18
er_20_0.3_1,37.0,0.9736842105263158,23,388,11
er_20_0.3_2,36.0,0.9473684210526315,54,1959,11
er_20_0.5_0,61.0,0.8970588235294118,23,80,13
er_20_0.5_1,59.0,0.9516129032258065,33,258,22
er_20_0.5_2,58.0,0.90625,32,141,13
er_20_0.7_0,77.0,0.8651685393258427,22,63,1
er_20_0.7_1,76.0,0.9156626506024096,12,45,2
er_20_0.7_2,73.0,0.9125,23,64,11
geo_14_0.3_0,15.0,1.0,11,38,5
geo_14_0.3_1,14.0,0.9333333333333333,11,4,5
geo_14_0.3_2,15.0,1.0,11,58,5
geo_14_0.5_0,28.0,0.9655172413793104,11,4,5
geo_14_0.5_1,23.0,1.0,6,3,1
geo_14_0.5_2,35.0,0.9722222222222222,6,3,1
geo_14_0.7_0,38.0,0.9743589743589743,6,3,5
geo_14_0.7_1,46.0,1.0,6,3,2
geo_14_0.7_2,40.0,0.975609756097561,6,3,5
geo_16_0.3_0,16.0,0.9411764705882353,15,88,7
geo_16_0.3_1,22.0,0.9565217391304348,15,148,7
geo_16_0.3_2,18.0,1.0,15,128,7
geo_16_0.5_0,34.0,0.918918918918919,15,28,7
geo_16_0.5_1,43.0,0.9555555555555556,15,8,7
geo_16_0.5_2,35.0,0.9459459459459459,8,5,1
geo_16_0.7_0,42.0,0.9333333333333333,15,16,9
geo_16_0.7_1,53.0,0.9636363636363636,15,12,9
geo_16_0.7_2,55.0,0.9821428571428571,8,5,7
geo_18_0.3_0,17.0,0.8947368421052632,35,492,9
geo_18_0.3_1,23.0,0.92,22,99,1
geo_18_0.3_2,21.0,0.9130434782608695,19,50,9
geo_18_0.5_0,39.0,0.9512195121951219,10,31,1
geo_18_0.5_1,47.0,0.94,10,11,1
geo_18_0.5_2,44.0,0.9565217391304348,23,44,18
geo_18_0.7_0,64.0,0.9411764705882353,10,7,1
geo_18_0.7_1,77.0,0.9625,10,7,1
geo_18_0.7_2,70.0,0.9859154929577465,10,7,1
geo_20_0.3_0,27.0,0.8709677419354839,50,611,22
geo_20_0.3_1,27.0,0.9,23,216,1
geo_20_0.3_2,28.0,0.875,48,205,11
geo_20_0.5_0,52.0,0.9629629629629629,12,57,1
geo_20_0.5_1,59.0,0.921875,20,45,1
geo_20_0.5_2,53.0,0.8983050847457628,33,90,24
geo_20_0.7_0,78.0,0.9512195121951219,12,21,1
geo_20_0.7_1,84.0,0.9655172413793104,12,9,1
geo_20_0.7_2,80.0,0.9876543209876543,12,9,1
