problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,31,0,31
er_14_0.3_1,19.0,1.0,31,0,21
er_14_0.3_2,23.0,1.0,31,0,24
er_14_0.5_0,34.0,1.0,31,0,20
er_14_0.5_1,32.0,1.0,31,0,5
er_14_0.5_2,34.0,1.0,31,0,8
er_14_0.7_0,42.0,1.0,31,0,23
er_14_0.7_1,41.0,1.0,31,0,31
er_14_0.7_2,38.0,1.0,31,0,8
er_16_0.3_0,26.0,1.0,127,0,39
er_16_0.3_1,30.0,1.0,127,0,11
er_16_0.3_2,22.0,1.0,127,0,64
er_16_0.5_0,47.0,1.0,127,0,46
er_16_0.5_1,42.0,1.0,127,0,46
er_16_0.5_2,40.0,1.0,127,0,49
er_16_0.7_0,50.0,1.0,127,0,23
er_16_0.7_1,55.0,1.0,127,0,102
er_16_0.7_2,55.0,1.0,127,0,29
er_18_0.3_0,36.0,1.0,511,0,265
er_18_0.3_1,34.0,1.0,511,0,185
er_18_0.3_2,39.0,1.0,511,0,114
er_18_0.5_0,47.0,1.0,511,0,199
er_18_0.5_1,56.0,1.0,511,0,12
er_18_0.5_2,56.0,1.0,511,0,462
er_18_0.7_0,67.0,1.0,511,0,62
er_18_0.7_1,65.0,1.0,511,0,82
er_18_0.7_2,65.0,1.0,511,0,286
er_20_0.3_0,44.0,1.0,2047,0,1560
er_20_0.3_1,38.0,1.0,2047,0,529
er_20_0.3_2,38.0,1.0,2047,0,715
er_20_0.5_0,68.0,1.0,2047,0,1894
er_20_0.5_1,62.0,1.0,2047,0,521
er_20_0.5_2,64.0,1.0,2047,0,58
er_20_0.7_0,89.0,1.0,2047,0,131
er_20_0.7_1,83.0,1.0,2047,0,1097
er_20_0.7_2,80.0,1.0,2047,0,255
geo_14_0.3_0,15.0,1.0,31,0,5
geo_14_0.3_1,15.0,1.0,31,0,18
geo_14_0.3_2,15.0,1.0,31,0,10
geo_14_0.5_0,29.0,1.0,31,0,8
geo_14_0.5_1,23.0,1.0,31,0,1
geo_14_0.5_2,36.0,1.0,31,0,17
geo_14_0.7_0,39.0,1.0,31,0,24
geo_14_0.7_1,46.0,1.0,31,0,23
geo_14_0.7_2,41.0,1.0,31,0,28
geo_16_0.3_0,17.0,1.0,127,0,8
geo_16_0.3_1,23.0,1.0,127,0,66
geo_16_0.3_2,18.0,1.0,127,0,86
geo_16_0.5_0,37.0,1.0,127,0,108
geo_16_0.5_1,45.0,1.0,127,0,9
geo_16_0.5_2,37.0,1.0,127,0,74
geo_16_0.7_0,45.0,1.0,127,0,102
geo_16_0.7_1,55.0,1.0,127,0,86
geo_16_0.7_2,56.0,1.0,127,0,114
geo_18_0.3_0,19.0,1.0,511,0,257
geo_18_0.3_1,25.0,1.0,511,0,320
geo_18_0.3_2,23.0,1.0,511,0,34
geo_18_0.5_0,41.0,1.0,511,0,41
geo_18_0.5_1,50.0,1.0,511,0,140
geo_18_0.5_2,46.0,1.0,511,0,149
geo_18_0.7_0,68.0,1.0,511,0,359
geo_18_0.7_1,80.0,1.0,511,0,495
geo_18_0.7_2,71.0,1.0,511,0,469
geo_20_0.3_0,31.0,1.0,2047,0,1912
geo_20_0.3_1,30.0,1.0,2047,0,187
geo_20_0.3_2,32.0,1.0,2047,0,1895
geo_20_0.5_0,54.0,1.0,2047,0,695
geo_20_0.5_1,64.0,1.0,2047,0,1858
geo_20_0.5_2,59.0,1.0,2047,0,1049
geo_20_0.7_0,82.0,1.0,2047,0,1714
geo_20_0.7_1,87.0,1.0,2047,0,1546
geo_20_0.7_2,81.0,1.0,2047,0,1035
