problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,31,0,16
er_14_0.3_1,19.0,1.0,31,0,16
er_14_0.3_2,23.0,1.0,31,0,25
er_14_0.5_0,34.0,1.0,31,0,16
er_14_0.5_1,32.0,1.0,31,0,16
er_14_0.5_2,34.0,1.0,31,0,24
er_14_0.7_0,42.0,1.0,31,0,12
er_14_0.7_1,41.0,1.0,31,0,16
er_14_0.7_2,38.0,1.0,31,0,20
er_16_0.3_0,26.0,1.0,127,0,74
er_16_0.3_1,30.0,1.0,127,0,98
er_16_0.3_2,22.0,1.0,127,0,118
er_16_0.5_0,47.0,1.0,127,0,96
er_16_0.5_1,42.0,1.0,127,0,30
er_16_0.5_2,40.0,1.0,127,0,79
er_16_0.7_0,50.0,1.0,127,0,64
er_16_0.7_1,55.0,1.0,127,0,64
er_16_0.7_2,55.0,1.0,127,0,66
er_18_0.3_0,36.0,1.0,511,0,264
er_18_0.3_1,34.0,1.0,511,0,34
er_18_0.3_2,39.0,1.0,511,0,502
er_18_0.5_0,47.0,1.0,511,0,264
er_18_0.5_1,56.0,1.0,511,0,291
er_18_0.5_2,56.0,1.0,511,0,278
er_18_0.7_0,67.0,1.0,511,0,287
er_18_0.7_1,65.0,1.0,511,0,5
er_18_0.7_2,65.0,1.0,511,0,256
er_20_0.3_0,44.0,1.0,2047,0,1248
er_20_0.3_1,38.0,1.0,2047,0,512
er_20_0.3_2,38.0,1.0,2047,0,1030
er_20_0.5_0,68.0,1.0,2047,0,30
er_20_0.5_1,62.0,1.0,2047,0,1156
er_20_0.5_2,64.0,1.0,2047,0,1178
er_20_0.7_0,89.0,1.0,2047,0,1048
er_20_0.7_1,83.0,1.0,2047,0,1024
er_20_0.7_2,80.0,1.0,2047,0,1036
geo_14_0.3_0,15.0,1.0,31,0,2
geo_14_0.3_1,15.0,1.0,31,0,19
geo_14_0.3_2,15.0,1.0,31,0,16
geo_14_0.5_0,29.0,1.0,31,0,16
geo_14_0.5_1,23.0,1.0,31,0,1
geo_14_0.5_2,36.0,1.0,31,0,16
geo_14_0.7_0,39.0,1.0,31,0,16
geo_14_0.7_1,46.0,1.0,31,0,16
geo_14_0.7_2,41.0,1.0,31,0,16
geo_16_0.3_0,17.0,1.0,127,0,65
geo_16_0.3_1,23.0,1.0,127,0,110
geo_16_0.3_2,18.0,1.0,127,0,64
geo_16_0.5_0,37.0,1.0,127,0,123
geo_16_0.5_1,45.0,1.0,127,0,81
geo_16_0.5_2,37.0,1.0,127,0,66
geo_16_0.7_0,45.0,1.0,127,0,2
geo_16_0.7_1,55.0,1.0,127,0,48
geo_16_0.7_2,56.0,1.0,127,0,66
geo_18_0.3_0,19.0,1.0,511,0,258
geo_18_0.3_1,25.0,1.0,511,0,282
geo_18_0.3_2,23.0,1.0,511,0,225
geo_18_0.5_0,41.0,1.0,511,0,337
geo_18_0.5_1,50.0,1.0,511,0,400
geo_18_0.5_2,46.0,1.0,511,0,288
geo_18_0.7_0,68.0,1.0,511,0,256
geo_18_0.7_1,80.0,1.0,511,0,280
geo_18_0.7_2,71.0,1.0,511,0,264
geo_20_0.3_0,31.0,1.0,2047,0,1160
geo_20_0.3_1,30.0,1.0,2047,0,1160
geo_20_0.3_2,32.0,1.0,2047,0,1834
geo_20_0.5_0,54.0,1.0,2047,0,1028
geo_20_0.5_1,64.0,1.0,2047,0,1056
geo_20_0.5_2,59.0,1.0,2047,0,1158
geo_20_0.7_0,82.0,1.0,2047,0,1822
geo_20_0.7_1,87.0,1.0,2047,0,3
geo_20_0.7_2,81.0,1.0,2047,0,1040
