problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,7,314,6
er_14_0.3_1,19.0,1.0,21,8,12
er_14_0.3_2,22.0,0.9565217391304348,13,2,8
er_14_0.5_0,34.0,1.0,11,26,8
er_14_0.5_1,32.0,1.0,6,3,5
er_14_0.5_2,33.0,0.9705882352941176,10,3,10
er_14_0.7_0,40.0,0.9523809523809523,6,3,4
er_14_0.7_1,41.0,1.0,6,3,5
er_14_0.7_2,37.0,0.9736842105263158,6,3,5
er_16_0.3_0,26.0,1.0,33,26,28
er_16_0.3_1,30.0,1.0,18,11,17
er_16_0.3_2,21.0,0.9545454545454546,47,328,30
er_16_0.5_0,46.0,0.9787234042553191,21,10,16
er_16_0.5_1,41.0,0.9761904761904762,29,40,24
er_16_0.5_2,39.0,0.975,17,6,12
er_16_0.7_0,50.0,1.0,15,4,10
er_16_0.7_1,55.0,1.0,8,5,7
er_16_0.7_2,55.0,1.0,11,4,10
er_18_0.3_0,36.0,1.0,46,17,37
er_18_0.3_1,34.0,1.0,55,2420,22
er_18_0.3_2,37.0,0.9487179487179487,40,41,31
er_18_0.5_0,47.0,1.0,30,63,27
er_18_0.5_1,56.0,1.0,32,13,31
er_18_0.5_2,55.0,0.9821428571428571,49,290,45
er_18_0.7_0,66.0,0.9850746268656716,10,7,9
er_18_0.7_1,65.0,1.0,13,966,5
er_18_0.7_2,65.0,1.0,18,9,13
er_20_0.3_0,43.0,0.9772727272727273,25,2664,8
er_20_0.3_1,38.0,1.0,40,21,26
er_20_0.3_2,38.0,1.0,150,433,111
er_20_0.5_0,67.0,0.9852941176470589,52,91,39
er_20_0.5_1,62.0,1.0,121,716,110
er_20_0.5_2,63.0,0.984375,70,39,53
er_20_0.7_0,88.0,0.9887640449438202,52,123,41
er_20_0.7_1,83.0,1.0,45,18,32
er_20_0.7_2,79.0,0.9875,46,39,45
geo_14_0.3_0,15.0,1.0,18,21,2
geo_14_0.3_1,15.0,1.0,25,2,17
geo_14_0.3_2,15.0,1.0,10,3,7
geo_14_0.5_0,29.0,1.0,6,3,5
geo_14_0.5_1,23.0,1.0,10,3,1
geo_14_0.5_2,36.0,1.0,6,3,5
geo_14_0.7_0,39.0,1.0,6,3,5
geo_14_0.7_1,46.0,1.0,6,3,5
geo_14_0.7_2,41.0,1.0,11,66,8
geo_16_0.3_0,17.0,1.0,30,11,22
geo_16_0.3_1,21.0,0.9130434782608695,19,12,15
geo_16_0.3_2,18.0,1.0,21,6,14
geo_16_0.5_0,36.0,0.972972972972973,21,8,16
geo_16_0.5_1,45.0,1.0,19,72,17
geo_16_0.5_2,37.0,1.0,26,7,19
geo_16_0.7_0,45.0,1.0,15,246,2
geo_16_0.7_1,53.0,0.9636363636363636,8,5,7
geo_16_0.7_2,54.0,0.9642857142857143,8,5,1
geo_18_0.3_0,19.0,1.0,92,157,65
geo_18_0.3_1,24.0,0.96,28,11,23
geo_18_0.3_2,23.0,1.0,86,129,60
geo_18_0.5_0,40.0,0.975609756097561,29,12,28
geo_18_0.5_1,49.0,0.98,35,20,31
geo_18_0.5_2,46.0,1.0,18,553,17
geo_18_0.7_0,68.0,1.0,18,13,15
geo_18_0.7_1,79.0,0.9875,10,7,9
geo_18_0.7_2,70.0,0.9859154929577465,10,7,1
geo_20_0.3_0,30.0,0.967741935483871,93,556,72
geo_20_0.3_1,29.0,0.9666666666666667,91,38,60
geo_20_0.3_2,31.0,0.96875,157,122,107
geo_20_0.5_0,54.0,1.0,41,28,34
geo_20_0.5_1,64.0,1.0,53,40,46
geo_20_0.5_2,58.0,0.9830508474576272,89,214,66
geo_20_0.7_0,81.0,0.9878048780487805,12,9,11
geo_20_0.7_1,86.0,0.9885057471264368,12,9,11
geo_20_0.7_2,80.0,0.9876543209876543,12,9,1
