problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,31,0,22
er_14_0.3_1,19.0,1.0,31,0,30
er_14_0.3_2,23.0,1.0,31,0,23
er_14_0.5_0,34.0,1.0,31,0,27
er_14_0.5_1,32.0,1.0,31,0,23
er_14_0.5_2,34.0,1.0,31,0,22
er_14_0.7_0,42.0,1.0,31,0,25
er_14_0.7_1,41.0,1.0,31,0,27
er_14_0.7_2,38.0,1.0,31,0,26
er_16_0.3_0,26.0,1.0,127,0,102
er_16_0.3_1,30.0,1.0,127,0,105
er_16_0.3_2,22.0,1.0,127,0,121
er_16_0.5_0,47.0,1.0,127,0,103
er_16_0.5_1,42.0,1.0,127,0,102
er_16_0.5_2,40.0,1.0,127,0,81
er_16_0.7_0,50.0,1.0,127,0,73
er_16_0.7_1,55.0,1.0,127,0,109
er_16_0.7_2,55.0,1.0,127,0,70
er_18_0.3_0,36.0,1.0,511,0,445
er_18_0.3_1,34.0,1.0,511,0,271
er_18_0.3_2,39.0,1.0,511,0,406
er_18_0.5_0,47.0,1.0,511,0,408
er_18_0.5_1,56.0,1.0,511,0,63
er_18_0.5_2,56.0,1.0,511,0,429
er_18_0.7_0,67.0,1.0,511,0,310
er_18_0.7_1,65.0,1.0,511,0,376
er_18_0.7_2,65.0,1.0,511,0,110
er_20_0.3_0,44.0,1.0,2047,0,1986
er_20_0.3_1,38.0,1.0,2047,0,13
er_20_0.3_2,38.0,1.0,2047,0,1702
er_20_0.5_0,68.0,1.0,2047,0,1295
er_20_0.5_1,62.0,1.0,2047,0,1707
er_20_0.5_2,64.0,1.0,2047,0,1501
er_20_0.7_0,89.0,1.0,2047,0,1774
er_20_0.7_1,83.0,1.0,2047,0,1359
er_20_0.7_2,80.0,1.0,2047,0,1479
geo_14_0.3_0,15.0,1.0,31,0,7
geo_14_0.3_1,15.0,1.0,31,0,29
geo_14_0.3_2,15.0,1.0,31,0,27
geo_14_0.5_0,29.0,1.0,31,0,28
geo_14_0.5_1,23.0,1.0,31,0,1
geo_14_0.5_2,36.0,1.0,31,0,18
geo_14_0.7_0,39.0,1.0,31,0,20
geo_14_0.7_1,46.0,1.0,31,0,21
geo_14_0.7_2,41.0,1.0,31,0,3
geo_16_0.3_0,17.0,1.0,127,0,107
geo_16_0.3_1,23.0,1.0,127,0,95
geo_16_0.3_2,18.0,1.0,127,0,80
geo_16_0.5_0,37.0,1.0,127,0,108
geo_16_0.5_1,45.0,1.0,127,0,108
geo_16_0.5_2,37.0,1.0,127,0,102
geo_16_0.7_0,45.0,1.0,127,0,77
geo_16_0.7_1,55.0,1.0,127,0,85
geo_16_0.7_2,56.0,1.0,127,0,71
geo_18_0.3_0,19.0,1.0,511,0,62
geo_18_0.3_1,25.0,1.0,496,1,476
geo_18_0.3_2,23.0,1.0,511,0,282
geo_18_0.5_0,41.0,1.0,511,0,381
geo_18_0.5_1,50.0,1.0,511,0,351
geo_18_0.5_2,46.0,1.0,511,0,325
geo_18_0.7_0,68.0,1.0,511,0,259
geo_18_0.7_1,80.0,1.0,511,0,6
geo_18_0.7_2,71.0,1.0,511,0,326
geo_20_0.3_0,31.0,1.0,2047,0,2020
geo_20_0.3_1,30.0,1.0,2047,0,1253
geo_20_0.3_2,32.0,1.0,2047,0,1396
geo_20_0.5_0,54.0,1.0,2047,0,1585
geo_20_0.5_1,64.0,1.0,2047,0,1711
geo_20_0.5_2,59.0,1.0,2047,0,1108
geo_20_0.7_0,82.0,1.0,2047,0,1255
geo_20_0.7_1,87.0,1.0,2047,0,290
geo_20_0.7_2,81.0,1.0,2047,0,867
