problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,15,8,14
er_14_0.3_1,19.0,1.0,13,2,8
er_14_0.3_2,22.0,0.9565217391304348,9,2,7
er_14_0.5_0,34.0,1.0,11,4,10
er_14_0.5_1,32.0,1.0,15,68,13
er_14_0.5_2,34.0,1.0,11,4,11
er_14_0.7_0,40.0,0.9523809523809523,6,3,5
er_14_0.7_1,41.0,1.0,6,3,5
er_14_0.7_2,37.0,0.9736842105263158,9,2,6
er_16_0.3_0,25.0,0.9615384615384616,26,15,25
er_16_0.3_1,28.0,0.9333333333333333,14,7,1
er_16_0.3_2,22.0,1.0,26,357,24
er_16_0.5_0,44.0,0.9361702127659575,24,33,23
er_16_0.5_1,42.0,1.0,29,86,22
er_16_0.5_2,38.0,0.95,8,5,7
er_16_0.7_0,50.0,1.0,14,7,13
er_16_0.7_1,52.0,0.9454545454545454,8,5,8
er_16_0.7_2,54.0,0.9818181818181818,8,5,7
er_18_0.3_0,36.0,1.0,48,33,37
er_18_0.3_1,33.0,0.9705882352941176,71,132,69
er_18_0.3_2,37.0,0.9487179487179487,30,31,25
er_18_0.5_0,47.0,1.0,48,33,41
er_18_0.5_1,56.0,1.0,36,17,33
er_18_0.5_2,55.0,0.9821428571428571,31,156,29
er_18_0.7_0,65.0,0.9701492537313433,10,7,3
er_18_0.7_1,63.0,0.9692307692307692,28,23,25
er_18_0.7_2,64.0,0.9846153846153847,23,68,22
er_20_0.3_0,41.0,0.9318181818181818,73,526,72
er_20_0.3_1,37.0,0.9736842105263158,31,60,22
er_20_0.3_2,38.0,1.0,128,2977,117
er_20_0.5_0,66.0,0.9705882352941176,47,168,44
er_20_0.5_1,60.0,0.967741935483871,66,153,66
er_20_0.5_2,63.0,0.984375,47,180,44
er_20_0.7_0,85.0,0.9550561797752809,12,9,3
er_20_0.7_1,81.0,0.9759036144578314,19,96,16
er_20_0.7_2,77.0,0.9625,51,236,40
geo_14_0.3_0,15.0,1.0,13,2,8
geo_14_0.3_1,15.0,1.0,18,3,11
geo_14_0.3_2,15.0,1.0,18,151,15
geo_14_0.5_0,29.0,1.0,9,2,9
geo_14_0.5_1,23.0,1.0,10,47,1
geo_14_0.5_2,36.0,1.0,6,3,3
geo_14_0.7_0,38.0,0.9743589743589743,10,3,4
geo_14_0.7_1,46.0,1.0,6,3,5
geo_14_0.7_2,40.0,0.975609756097561,9,2,6
geo_16_0.3_0,17.0,1.0,29,14,20
geo_16_0.3_1,23.0,1.0,12,29,9
geo_16_0.3_2,18.0,1.0,30,11,22
geo_16_0.5_0,34.0,0.918918918918919,16,5,11
geo_16_0.5_1,42.0,0.9333333333333333,11,4,10
geo_16_0.5_2,36.0,0.972972972972973,8,5,7
geo_16_0.7_0,45.0,1.0,23,8,14
geo_16_0.7_1,52.0,0.9454545454545454,8,5,7
geo_16_0.7_2,56.0,1.0,8,5,7
geo_18_0.3_0,19.0,1.0,20,1189,3
geo_18_0.3_1,25.0,1.0,47,46,42
geo_18_0.3_2,23.0,1.0,72,131,59
geo_18_0.5_0,39.0,0.9512195121951219,10,7,1
geo_18_0.5_1,48.0,0.96,33,34,3
geo_18_0.5_2,45.0,0.9782608695652174,38,311,31
geo_18_0.7_0,66.0,0.9705882352941176,24,13,20
geo_18_0.7_1,77.0,0.9625,10,7,1
geo_18_0.7_2,70.0,0.9859154929577465,10,7,1
geo_20_0.3_0,31.0,1.0,50,775,4
geo_20_0.3_1,30.0,1.0,69,46,62
geo_20_0.3_2,32.0,1.0,97,2568,30
geo_20_0.5_0,52.0,0.9629629629629629,47,24,1
geo_20_0.5_1,60.0,0.9375,31,16,24
geo_20_0.5_2,58.0,0.9830508474576272,32,33,29
geo_20_0.7_0,79.0,0.9634146341463414,12,9,9
geo_20_0.7_1,85.0,0.9770114942528736,26,87,21
geo_20_0.7_2,80.0,0.9876543209876543,15,8,1
