problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,11,8,6
er_14_0.3_1,19.0,1.0,10,3,5
er_14_0.3_2,22.0,0.9565217391304348,9,2,5
er_14_0.5_0,34.0,1.0,11,4,6
er_14_0.5_1,32.0,1.0,11,68,6
er_14_0.5_2,34.0,1.0,11,4,5
er_14_0.7_0,40.0,0.9523809523809523,6,3,6
er_14_0.7_1,41.0,1.0,6,3,6
er_14_0.7_2,37.0,0.9736842105263158,9,2,5
er_16_0.3_0,25.0,0.9615384615384616,15,12,8
er_16_0.3_1,28.0,0.9333333333333333,14,7,1
er_16_0.3_2,22.0,1.0,26,305,19
er_16_0.5_0,44.0,0.9361702127659575,15,24,8
er_16_0.5_1,41.0,0.9761904761904762,20,51,7
er_16_0.5_2,38.0,0.95,8,5,8
er_16_0.7_0,50.0,1.0,14,7,8
er_16_0.7_1,52.0,0.9454545454545454,8,5,7
er_16_0.7_2,54.0,0.9818181818181818,8,5,7
er_18_0.3_0,35.0,0.9722222222222222,19,12,10
er_18_0.3_1,31.0,0.9117647058823529,47,24,9
er_18_0.3_2,37.0,0.9487179487179487,22,19,9
er_18_0.5_0,47.0,1.0,19,12,10
er_18_0.5_1,54.0,0.9642857142857143,19,12,9
er_18_0.5_2,53.0,0.9464285714285714,19,72,10
er_18_0.7_0,65.0,0.9701492537313433,10,7,3
er_18_0.7_1,63.0,0.9692307692307692,18,21,9
er_18_0.7_2,64.0,0.9846153846153847,17,58,9
er_20_0.3_0,42.0,0.9545454545454546,29,580,11
er_20_0.3_1,37.0,0.9736842105263158,23,52,9
er_20_0.3_2,36.0,0.9473684210526315,57,452,12
er_20_0.5_0,65.0,0.9558823529411765,30,71,12
er_20_0.5_1,59.0,0.9516129032258065,33,54,21
er_20_0.5_2,60.0,0.9375,23,20,11
er_20_0.7_0,85.0,0.9550561797752809,12,9,3
er_20_0.7_1,81.0,0.9759036144578314,19,12,19
er_20_0.7_2,77.0,0.9625,23,24,7
geo_14_0.3_0,15.0,1.0,13,2,5
geo_14_0.3_1,15.0,1.0,15,20,5
geo_14_0.3_2,15.0,1.0,15,152,10
geo_14_0.5_0,29.0,1.0,9,2,5
geo_14_0.5_1,23.0,1.0,10,47,1
geo_14_0.5_2,36.0,1.0,6,3,3
geo_14_0.7_0,38.0,0.9743589743589743,10,3,3
geo_14_0.7_1,46.0,1.0,6,3,6
geo_14_0.7_2,40.0,0.975609756097561,9,2,5
geo_16_0.3_0,17.0,1.0,21,14,13
geo_16_0.3_1,23.0,1.0,12,29,12
geo_16_0.3_2,18.0,1.0,20,61,8
geo_16_0.5_0,34.0,0.918918918918919,13,6,7
geo_16_0.5_1,42.0,0.9333333333333333,11,4,7
geo_16_0.5_2,36.0,0.972972972972973,8,5,8
geo_16_0.7_0,45.0,1.0,18,47,8
geo_16_0.7_1,52.0,0.9454545454545454,8,5,7
geo_16_0.7_2,56.0,1.0,8,5,8
geo_18_0.3_0,19.0,1.0,19,710,2
geo_18_0.3_1,25.0,1.0,23,20,10
geo_18_0.3_2,22.0,0.9565217391304348,45,192,9
geo_18_0.5_0,39.0,0.9512195121951219,10,7,1
geo_18_0.5_1,48.0,0.96,33,34,3
geo_18_0.5_2,44.0,0.9565217391304348,19,12,9
geo_18_0.7_0,66.0,0.9705882352941176,24,13,18
geo_18_0.7_1,77.0,0.9625,10,7,1
geo_18_0.7_2,70.0,0.9859154929577465,10,7,1
geo_20_0.3_0,31.0,1.0,59,102,24
geo_20_0.3_1,30.0,1.0,51,32,35
geo_20_0.3_2,31.0,0.96875,62,493,21
geo_20_0.5_0,52.0,0.9629629629629629,47,24,1
geo_20_0.5_1,60.0,0.9375,31,16,15
geo_20_0.5_2,56.0,0.9491525423728814,23,16,11
geo_20_0.7_0,79.0,0.9634146341463414,12,9,9
geo_20_0.7_1,85.0,0.9770114942528736,26,87,19
geo_20_0.7_2,80.0,0.9876543209876543,15,8,1
